Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
3,1733333668168,04/12/2024 17:34:28,1733304868168,-8,04/12/2024 01:34:28,187004,8,questionnaire-nzx6,,41804082,BLIND,12211488,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2560x1440,2560x1440,,,0,Consent Form,4,Inaccurate~Accurate,1,Accurate,,,,,,info,,END,47283,,,,
1,1733333630456,04/12/2024 17:33:50,1733315630456,-5,04/12/2024 07:33:50,187004,8,questionnaire-nzx6,,41804087,BLIND,12211463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1360x768,1360x641,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733333723160,04/12/2024 17:35:23,1733315723160,-5,04/12/2024 07:35:23,187004,8,questionnaire-nzx6,,41804087,BLIND,12211463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1360x768,1360x641,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733333723160,04/12/2024 17:35:23,1733315723160,-5,04/12/2024 07:35:23,187004,8,questionnaire-nzx6,,41804087,BLIND,12211463,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1360x768,1360x641,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,92624,,,,
1,1733333675343,04/12/2024 17:34:35,1733312075343,-6,04/12/2024 05:34:35,187004,8,questionnaire-nzx6,,41804127,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733333739299,04/12/2024 17:35:39,1733312139299,-6,04/12/2024 05:35:39,187004,8,questionnaire-nzx6,,41804127,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733333739299,04/12/2024 17:35:39,1733312139299,-6,04/12/2024 05:35:39,187004,8,questionnaire-nzx6,,41804127,BLIND,12211514,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,2400x1196,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,63933,,,,
1,1733333713771,04/12/2024 17:35:13,1733315713771,-5,04/12/2024 07:35:13,187004,8,questionnaire-nzx6,,41804149,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733333723312,04/12/2024 17:35:23,1733315723312,-5,04/12/2024 07:35:23,187004,8,questionnaire-nzx6,,41804149,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733333723312,04/12/2024 17:35:23,1733315723312,-5,04/12/2024 07:35:23,187004,8,questionnaire-nzx6,,41804149,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,9500,,,,
