Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
5,1733423324903,05/12/2024 18:28:44,1733394524903,-8,05/12/2024 02:28:44,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,41836437,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,2,9900.299999999996,9883.5,9900.299999999996,9900.299999999996,9883.5,9900.299999999996,0,9900.299999999996,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1733423335114,05/12/2024 18:28:55,1733394535114,-8,05/12/2024 02:28:55,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,41836437,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,9228.900000000001,9216.400000000001,9228.900000000001,9228.900000000001,9216.400000000001,9228.900000000001,1,9228.900000000001,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1733423336103,05/12/2024 18:28:56,1733394536103,-8,05/12/2024 02:28:56,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,41836437,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,35039,,,,0,,,,,,,,,,,,,,,,,
1,1733423422259,05/12/2024 18:30:22,1733394622259,-8,05/12/2024 02:30:22,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1733423427174,05/12/2024 18:30:27,1733394627174,-8,05/12/2024 02:30:27,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,4924.400000000745,4916.700000000001,4924.400000000745,4924.400000000745,4916.700000000001,4924.400000000745,1,4924.400000000745,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1733423430167,05/12/2024 18:30:30,1733394630167,-8,05/12/2024 02:30:30,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.800000000372,2999.8999999999996,3000.800000000372,3000.800000000372,2999.8999999999996,3000.800000000372,1,3000.800000000372,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1733423435614,05/12/2024 18:30:35,1733394635614,-8,05/12/2024 02:30:35,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,5447.4000000003725,5433.200000000001,5447.4000000003725,5447.4000000003725,5433.200000000001,5447.4000000003725,1,5447.4000000003725,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1733423446738,05/12/2024 18:30:46,1733394646738,-8,05/12/2024 02:30:46,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,10137.599999999999,10132.900000000001,10137.599999999999,10137.599999999999,10132.900000000001,10137.599999999999,1,10137.599999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1733423451631,05/12/2024 18:30:51,1733394651631,-8,05/12/2024 02:30:51,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,3898.7000000001863,3883,3898.7000000001863,3898.7000000001863,3883,3898.7000000001863,1,3898.7000000001863,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1733423452618,05/12/2024 18:30:52,1733394652618,-8,05/12/2024 02:30:52,187004,8,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,41836505,BLIND,12211462,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1920x869,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,30340,,,,0,,,,,,,,,,,,,,,,,
