Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1733333407491,04/12/2024 17:30:07,1733311807491,-6,04/12/2024 05:30:07,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1733333421018,04/12/2024 17:30:21,1733311821018,-6,04/12/2024 05:30:21,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,12797.20000000298,12783.5,12797.20000000298,12797.20000000298,12783.5,12797.20000000298,1,12797.20000000298,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1733333427990,04/12/2024 17:30:27,1733311827990,-6,04/12/2024 05:30:27,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,6985.79999999702,6983.299999999999,6985.79999999702,6985.79999999702,6983.299999999999,6985.79999999702,1,6985.79999999702,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1733333430989,04/12/2024 17:30:30,1733311830989,-6,04/12/2024 05:30:30,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3001.2000000000007,3000.2000000000007,3001.2000000000007,3001.2000000000007,3000.2000000000007,3001.2000000000007,1,3001.2000000000007,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1733333431989,04/12/2024 17:30:31,1733311831989,-6,04/12/2024 05:30:31,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1000,1000,1000,1000,1000,1000,0,1000,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1733333432972,04/12/2024 17:30:32,1733311832972,-6,04/12/2024 05:30:32,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1733333433973,04/12/2024 17:30:33,1733311833973,-6,04/12/2024 05:30:33,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,J,1000.2000000000007,1000.2000000000007,1000.2000000000007,1000.2000000000007,1000.2000000000007,1000.2000000000007,0,1000.2000000000007,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1733333434955,04/12/2024 17:30:34,1733311834955,-6,04/12/2024 05:30:34,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1733333435957,04/12/2024 17:30:35,1733311835957,-6,04/12/2024 05:30:35,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,J,1000.7000000000007,1000.7000000000007,1000.7000000000007,1000.7000000000007,1000.7000000000007,1000.7000000000007,0,1000.7000000000007,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1733333436939,04/12/2024 17:30:36,1733311836939,-6,04/12/2024 05:30:36,187004,8,task-wzke,repeat-3dmk#1,41803845,BLIND,12211453,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x631,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,1,500.1000000000022,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
