Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1736880832362,14/01/2025 18:53:52,1736859232362,-6,14/01/2025 06:53:52,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-tj2w#2->-repeat-bh4w#2,42476099,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736880842483,14/01/2025 18:54:02,1736859242483,-6,14/01/2025 06:54:02,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-tj2w#2->-repeat-bh4w#2,42476099,BLIND,12393674,,complete,,6786aaf2bf26d11963bdaad8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,END,10112,,,,
1,1736880966822,14/01/2025 18:56:06,1736855766822,-7,14/01/2025 04:56:06,153647,19,questionnaire-vj9b,repeat-3dmk#1->-repeat-ku6w#2->-repeat-bbex#2,42476169,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Debrieff,3,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1736881011870,14/01/2025 18:56:51,1736855811870,-7,14/01/2025 04:56:51,153647,19,questionnaire-vj9b,repeat-3dmk#1->-repeat-ku6w#2->-repeat-bbex#2,42476169,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Debrieff,3,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,,,,,info,,END,45016,,,,
1,1736881288315,14/01/2025 19:01:28,1736859688315,-6,14/01/2025 07:01:28,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#1->-repeat-bbex#3,42476354,BLIND,12393714,,complete,,6786ab72b72bf916222339d8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2732x1302,,,0,Debrieff,3,Inaccurate~Accurate,1,Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1736881292564,14/01/2025 19:01:32,1736859692564,-6,14/01/2025 07:01:32,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#1->-repeat-bbex#3,42476354,BLIND,12393714,,complete,,6786ab72b72bf916222339d8,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2732x1302,,,0,Debrieff,3,Inaccurate~Accurate,1,Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,END,4221,,,,
1,1736881412818,14/01/2025 19:03:32,1736863412818,-5,14/01/2025 09:03:32,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#3,42476454,BLIND,12393689,,complete,,6786aaf5a728d9311a5fb18e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x717,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1736881491513,14/01/2025 19:04:51,1736863491513,-5,14/01/2025 09:04:51,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#3,42476454,BLIND,12393689,,complete,,6786aaf5a728d9311a5fb18e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x717,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,END,78682,,,,
1,1736881784853,14/01/2025 19:09:44,1736863784853,-5,14/01/2025 09:09:44,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#2->-repeat-bh4w#3,42476579,BLIND,12393679,,complete,,6786aaf1c687d16642ca5e57,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x713,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736881805749,14/01/2025 19:10:05,1736863805749,-5,14/01/2025 09:10:05,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#2->-repeat-bh4w#3,42476579,BLIND,12393679,,complete,,6786aaf1c687d16642ca5e57,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x713,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,20883,,,,
