Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1736879837221,14/01/2025 18:37:17,1736854637221,-7,14/01/2025 04:37:17,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1736879844749,14/01/2025 18:37:24,1736854644749,-7,14/01/2025 04:37:24,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,7575.8,7566.7,7575.8,7575.8,7566.7,7575.8,1,7575.8,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1736879847741,14/01/2025 18:37:27,1736854647741,-7,14/01/2025 04:37:27,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.300000001118,2999.8999999999996,3001.300000001118,3001.300000001118,2999.8999999999996,3001.300000001118,1,3001.300000001118,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1736879859710,14/01/2025 18:37:39,1736854659710,-7,14/01/2025 04:37:39,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,6,11966.400000000001,11949.7,11966.400000000001,11966.400000000001,11949.7,11966.400000000001,0,11966.400000000001,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1736879875351,14/01/2025 18:37:55,1736854675351,-7,14/01/2025 04:37:55,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,4,14660.099999999999,14649.5,14660.099999999999,14660.099999999999,14649.5,14660.099999999999,0,14660.099999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,2
6,1736879876363,14/01/2025 18:37:56,1736854676363,-7,14/01/2025 04:37:56,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,3,23.200000001117587,16.599999999998545,23.200000001117587,23.200000001117587,16.599999999998545,23.200000001117587,0,23.200000001117587,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,3
7,1736879877360,14/01/2025 18:37:57,1736854677360,-7,14/01/2025 04:37:57,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#1,42475674,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,39981,,,,0,,,,,,,,,,,,,,,,,
1,1736879945930,14/01/2025 18:39:05,1736854745930,-7,14/01/2025 04:39:05,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#2,42475724,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1736879947644,14/01/2025 18:39:07,1736854747644,-7,14/01/2025 04:39:07,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#2,42475724,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1737.6,1733.2999999999997,1737.6,1737.6,1733.2999999999997,1737.6,1,1737.6,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1736879950641,14/01/2025 18:39:10,1736854750641,-7,14/01/2025 04:39:10,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#2,42475724,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.8,3000,3000.8,3000.8,3000,3000.8,1,3000.8,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1736879952597,14/01/2025 18:39:12,1736854752597,-7,14/01/2025 04:39:12,153647,19,task-ugmz,repeat-3dmk#1->-repeat-ku6w#2,42475724,BLIND,12393678,,complete,,6786aaf3c6c15def4d8c582d,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1920x1080,1920x993,,,0,Memory Practice Clone,7,Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,1956.5999999988826,1949.9000000000005,1956.5999999988826,1956.5999999988826,1949.9000000000005,1956.5999999988826,1,1956.5999999988826,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
