"","Participant.Private.ID","Task.Name","Trial.Number","Display","Response","Spreadsheet..img","Spreadsheet..type","Spreadsheet..memory","Tree.Node.Key","hits","fas","miss","crs","hit_rate","false_alarm_rate","APrime","d_prime"
"29",10773056,"Memory Task (Clone 3)",29,"image","1","6e2de1dd06b840fb0c30558af808c851.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"30",10773056,"Memory Task (Clone 3)",30,"image","1","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"31",10773056,"Memory Task (Clone 3)",31,"image","4","Landscapes_011_h.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"32",10773056,"Memory Task (Clone 3)",32,"image","1","fec11dda30431706f5eb888ce3492570.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"33",10773056,"Memory Task (Clone 3)",33,"image","1","fe25ff4825132970ac366436a7ac7f52.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"34",10773056,"Memory Task (Clone 3)",34,"image","4","Landscapes_128_h.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"35",10773056,"Memory Task (Clone 3)",35,"image","4","05e0ccb29e66f0205468594900a6183c.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"36",10773056,"Memory Task (Clone 3)",36,"image","3","2f02c39dabc2c18f71aa323771b1bd08.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"37",10773056,"Memory Task (Clone 3)",37,"image","6","5bcf13250037ead4c56e6af86bc07c6e.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"38",10773056,"Memory Task (Clone 3)",38,"image","4","fc7354a0bbef269140ce76bff20aa450.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"39",10773056,"Memory Task (Clone 3)",39,"image","4","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"40",10773056,"Memory Task (Clone 3)",40,"image","4","81e66642b9b2a168629fdd62ece35749.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"41",10773056,"Memory Task (Clone 3)",41,"image","2","c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"42",10773056,"Memory Task (Clone 3)",42,"image","2","NeutMidNonsoc_8.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"43",10773056,"Memory Task (Clone 3)",43,"image","2","3b801dce0def3b08832596e9d9c49581.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"44",10773056,"Memory Task (Clone 3)",44,"image","4","3b28318716c8f229919610055035ba3e.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"45",10773056,"Memory Task (Clone 3)",45,"image","4","2dd0aad5b99bf1d8f7739cdc4f2ae114.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"46",10773056,"Memory Task (Clone 3)",46,"image","2","03b8acc17e9fa12795ac1bdce10e01fe.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"47",10773056,"Memory Task (Clone 3)",47,"image","2","2301953e90a7e451f9113cb4ad3d4d78.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"48",10773056,"Memory Task (Clone 3)",48,"image","6","2a3c588170a6bf80d052d1c017bbf1f4.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"49",10773056,"Memory Task (Clone 3)",49,"image","1","01eaa9d3e93ad66b6182e77489aa56ea.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"50",10773056,"Memory Task (Clone 3)",50,"image","5","NegMidNonsoc_21.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
