Img,Image_Set,Memorability_Score,Num_Ratings,Mean_Valence,Mean_Arousal
Landscapes_122_v.jpg,NAPS,0.65,92,5.684782609,4.260869565
Landscapes_123_h.jpg,NAPS,0.647128245,99,7.242424242,5.686868687
Landscapes_128_h.jpg,NAPS,0.617494824,89,7.06741573,5.134831461
Landscapes_129_v.jpg,NAPS,0.782051282,90,4.211111111,4.522222222
Landscapes_130_h.jpg,NAPS,0.680356259,95,4.305263158,3.578947368
Landscapes_132_h.jpg,NAPS,0.75635632,99,7.303030303,5.131313131
Landscapes_135_h.jpg,NAPS,0.646551724,100,3.63,3.84
Landscapes_140_v.jpg,NAPS,0.615511249,83,7.530120482,5.795180723
Landscapes_142_h.jpg,NAPS,0.678820545,90,6.566666667,4.966666667
Landscapes_154_h.jpg,NAPS,0.5085578,100,6.84,5.05
Landscapes_158_h.jpg,NAPS,0.661195286,90,5.188888889,4.5
Landscapes_164_h.jpg,NAPS,0.504895961,95,6.494736842,4.242105263
Landscapes_168_h.jpg,NAPS,0.668248695,95,6.831578947,5.421052632
Landscapes_169_h.jpg,NAPS,0.695970696,104,6.288461538,5.105769231
Landscapes_173_h.jpg,NAPS,0.613658537,95,6.368421053,4.652631579
