"","Participant.Private.ID","Display","emo_rate","Spreadsheet..memory","Img","Object.ID","aff_type"
"67",10773056,"image",9,"target","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","object-51","valence"
"68",10773056,"image",1,"target","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","object-78","arousal"
"69",10773056,"image",9,"target","fc7354a0bbef269140ce76bff20aa450.jpg","object-51","valence"
"70",10773056,"image",5,"target","fc7354a0bbef269140ce76bff20aa450.jpg","object-78","arousal"
"71",10773056,"image",8,"target","Landscapes_033_h.jpg","object-51","valence"
"72",10773056,"image",5,"target","Landscapes_033_h.jpg","object-78","arousal"
"73",10773056,"image",2,"target","05d8821c014d8c5811839b8245fef778.jpg","object-51","valence"
"74",10773056,"image",5,"target","05d8821c014d8c5811839b8245fef778.jpg","object-78","arousal"
"75",10773056,"image",1,"target","3be1dc1cbac8f940252b3cb095d56548.jpg","object-51","valence"
"76",10773056,"image",8,"target","3be1dc1cbac8f940252b3cb095d56548.jpg","object-78","arousal"
"77",10773056,"image",8,"target","c9b37e0251acb3852cfa984af9422718.jpg","object-51","valence"
"78",10773056,"image",1,"target","c9b37e0251acb3852cfa984af9422718.jpg","object-78","arousal"
"79",10773056,"image",2,"target","6a428827436fae2f1dc16138cf69fbc3.jpg","object-51","valence"
"80",10773056,"image",1,"target","6a428827436fae2f1dc16138cf69fbc3.jpg","object-78","arousal"
"81",10773056,"image",2,"target","NegMidNonsoc_21.jpg","object-51","valence"
"82",10773056,"image",6,"target","NegMidNonsoc_21.jpg","object-78","arousal"
"83",10773056,"image",1,"target","NegMidNonsoc_17.jpg","object-51","valence"
"84",10773056,"image",7,"target","NegMidNonsoc_17.jpg","object-78","arousal"
"85",10773056,"image",1,"target","98e1de33aecf9079ec4fef36414a6b93.jpg","object-51","valence"
"86",10773056,"image",9,"target","98e1de33aecf9079ec4fef36414a6b93.jpg","object-78","arousal"
"87",10773056,"image",9,"target","01eaa9d3e93ad66b6182e77489aa56ea.jpg","object-51","valence"
"88",10773056,"image",2,"target","01eaa9d3e93ad66b6182e77489aa56ea.jpg","object-78","arousal"
"89",10773056,"image",6,"target","3aa18c7989615cbf9e84d32f0039e64f.jpg","object-51","valence"
"90",10773056,"image",5,"target","3aa18c7989615cbf9e84d32f0039e64f.jpg","object-78","arousal"
"91",10773056,"image",2,"target","NeutMidNonsoc_6.jpg","object-51","valence"
"92",10773056,"image",8,"target","NeutMidNonsoc_6.jpg","object-78","arousal"
"93",10773056,"image",7,"target","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","object-51","valence"
"94",10773056,"image",1,"target","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","object-78","arousal"
"95",10773056,"image",6,"target","ff4d01d75d50faf331cafb1b94574410.jpg","object-51","valence"
"96",10773056,"image",4,"target","ff4d01d75d50faf331cafb1b94574410.jpg","object-78","arousal"
"97",10773056,"image",6,"target","02c05e69286823f10f4ab01f26fc6812.jpg","object-51","valence"
"98",10773056,"image",6,"target","02c05e69286823f10f4ab01f26fc6812.jpg","object-78","arousal"
"99",10773056,"image",1,"target","fef52d08fa721202036106f66f1505ac.jpg","object-51","valence"
"100",10773056,"image",9,"target","fef52d08fa721202036106f66f1505ac.jpg","object-78","arousal"
"101",10776637,"image",4,"target","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","object-51","valence"
"102",10776637,"image",6,"target","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","object-78","arousal"
"103",10776637,"image",7,"target","9429c67f6cd1ee28595e7f303408801b.jpg","object-51","valence"
"104",10776637,"image",7,"target","9429c67f6cd1ee28595e7f303408801b.jpg","object-78","arousal"
"105",10776637,"image",4,"target","02c05e69286823f10f4ab01f26fc6812.jpg","object-51","valence"
"106",10776637,"image",4,"target","02c05e69286823f10f4ab01f26fc6812.jpg","object-78","arousal"
"107",10776637,"image",8,"target","3e63504a056f9ae4d031ef5b232068fc.jpg","object-51","valence"
"108",10776637,"image",7,"target","3e63504a056f9ae4d031ef5b232068fc.jpg","object-78","arousal"
"109",10776637,"image",7,"target","5f560d80ea8dffbb6034d4d3478377d4.jpg","object-51","valence"
"110",10776637,"image",6,"target","5f560d80ea8dffbb6034d4d3478377d4.jpg","object-78","arousal"
"111",10776637,"image",5,"target","3ed4c65eb4ba874e455ada92d56a3ff9.jpg","object-51","valence"
"112",10776637,"image",9,"target","3ed4c65eb4ba874e455ada92d56a3ff9.jpg","object-78","arousal"
"113",10776637,"image",4,"target","2dd0aad5b99bf1d8f7739cdc4f2ae114.jpg","object-51","valence"
"114",10776637,"image",8,"target","2dd0aad5b99bf1d8f7739cdc4f2ae114.jpg","object-78","arousal"
"115",10776637,"image",5,"target","3e7d77afa0df3f55870ed51e1786d9dd.jpg","object-51","valence"
"116",10776637,"image",6,"target","3e7d77afa0df3f55870ed51e1786d9dd.jpg","object-78","arousal"
"117",10776637,"image",4,"target","Landscapes_058_h.jpg","object-51","valence"
"118",10776637,"image",4,"target","Landscapes_058_h.jpg","object-78","arousal"
"119",10776637,"image",4,"target","1e94ffb7f9974a4e16b4667988e5fe04.jpg","object-51","valence"
"120",10776637,"image",6,"target","1e94ffb7f9974a4e16b4667988e5fe04.jpg","object-78","arousal"
"121",10776637,"image",6,"target","fdba06ca0c1cd11d6ee0d98573e406e8.jpg","object-51","valence"
"122",10776637,"image",9,"target","fdba06ca0c1cd11d6ee0d98573e406e8.jpg","object-78","arousal"
"123",10776637,"image",3,"target","3ad1eaf82976bfcd62fdf7efe3f73714.jpg","object-51","valence"
"124",10776637,"image",6,"target","3ad1eaf82976bfcd62fdf7efe3f73714.jpg","object-78","arousal"
"125",10776637,"image",5,"target","3be1dc1cbac8f940252b3cb095d56548.jpg","object-51","valence"
"126",10776637,"image",1,"target","3be1dc1cbac8f940252b3cb095d56548.jpg","object-78","arousal"
"127",10776637,"image",6,"target","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","object-51","valence"
"128",10776637,"image",7,"target","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","object-78","arousal"
"129",10776637,"image",4,"target","3aa18c7989615cbf9e84d32f0039e64f.jpg","object-51","valence"
"130",10776637,"image",4,"target","3aa18c7989615cbf9e84d32f0039e64f.jpg","object-78","arousal"
"131",10776637,"image",4,"target","52ffa3e5889e09af34e5fe0491aa89b8.jpg","object-51","valence"
"132",10776637,"image",2,"target","52ffa3e5889e09af34e5fe0491aa89b8.jpg","object-78","arousal"
"133",10776637,"image",4,"target","Solar panel 1.jpg","object-51","valence"
"134",10776637,"image",2,"target","Solar panel 1.jpg","object-78","arousal"
"135",10776637,"image",3,"target","NegMidNonsoc_17.jpg","object-51","valence"
"136",10776637,"image",7,"target","NegMidNonsoc_17.jpg","object-78","arousal"
"137",10776637,"image",5,"target","fc7354a0bbef269140ce76bff20aa450.jpg","object-51","valence"
"138",10776637,"image",6,"target","fc7354a0bbef269140ce76bff20aa450.jpg","object-78","arousal"
"139",10776637,"image",4,"target","fe20fb1d85b9e167448d8579e2dc9afa.jpg","object-51","valence"
"140",10776637,"image",6,"target","fe20fb1d85b9e167448d8579e2dc9afa.jpg","object-78","arousal"
"141",10776637,"image",6,"target","1ded6e97d0ad65c21ef12e8872f75185.jpg","object-51","valence"
"142",10776637,"image",3,"target","1ded6e97d0ad65c21ef12e8872f75185.jpg","object-78","arousal"
"143",10776637,"image",4,"target","6a428827436fae2f1dc16138cf69fbc3.jpg","object-51","valence"
"144",10776637,"image",9,"target","6a428827436fae2f1dc16138cf69fbc3.jpg","object-78","arousal"
"145",10776637,"image",7,"target","06d26db007c559279f26819efcdd8c97.jpg","object-51","valence"
"146",10776637,"image",4,"target","06d26db007c559279f26819efcdd8c97.jpg","object-78","arousal"
"147",10776637,"image",6,"target","Landscapes_112_v.jpg","object-51","valence"
"148",10776637,"image",3,"target","Landscapes_112_v.jpg","object-78","arousal"
"149",10776637,"image",3,"target","05d8821c014d8c5811839b8245fef778.jpg","object-51","valence"
"150",10776637,"image",6,"target","05d8821c014d8c5811839b8245fef778.jpg","object-78","arousal"
"151",10776637,"image",3,"target","fef52d08fa721202036106f66f1505ac.jpg","object-51","valence"
"152",10776637,"image",8,"target","fef52d08fa721202036106f66f1505ac.jpg","object-78","arousal"
"153",10776637,"image",4,"target","7c4f3f4fb26ac0b47b8ba51ee8b0979b.jpg","object-51","valence"
"154",10776637,"image",6,"target","7c4f3f4fb26ac0b47b8ba51ee8b0979b.jpg","object-78","arousal"
"155",10776637,"image",5,"target","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","object-51","valence"
"156",10776637,"image",6,"target","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","object-78","arousal"
"157",10776637,"image",5,"target","6e2de1dd06b840fb0c30558af808c851.jpg","object-51","valence"
"158",10776637,"image",3,"target","6e2de1dd06b840fb0c30558af808c851.jpg","object-78","arousal"
"159",10776637,"image",6,"target","7096db64fae6464d83aba73b658251b8.jpg","object-51","valence"
"160",10776637,"image",7,"target","7096db64fae6464d83aba73b658251b8.jpg","object-78","arousal"
"161",10776637,"image",2,"target","NegMidNonsoc_5.jpg","object-51","valence"
"162",10776637,"image",6,"target","NegMidNonsoc_5.jpg","object-78","arousal"
"163",10776637,"image",6,"target","3b801dce0def3b08832596e9d9c49581.jpg","object-51","valence"
"164",10776637,"image",9,"target","3b801dce0def3b08832596e9d9c49581.jpg","object-78","arousal"
"165",10776637,"image",6,"target","c9b37e0251acb3852cfa984af9422718.jpg","object-51","valence"
"166",10776637,"image",7,"target","c9b37e0251acb3852cfa984af9422718.jpg","object-78","arousal"
"167",10776637,"image",5,"target","NeutMidNonsoc_6.jpg","object-51","valence"
"168",10776637,"image",2,"target","NeutMidNonsoc_6.jpg","object-78","arousal"
"169",10776637,"image",6,"target","ff4d01d75d50faf331cafb1b94574410.jpg","object-51","valence"
"170",10776637,"image",4,"target","ff4d01d75d50faf331cafb1b94574410.jpg","object-78","arousal"
"171",10776637,"image",6,"target","01eaa9d3e93ad66b6182e77489aa56ea.jpg","object-51","valence"
"172",10776637,"image",7,"target","01eaa9d3e93ad66b6182e77489aa56ea.jpg","object-78","arousal"
"173",10776637,"image",6,"target","2fc170131665d79a6c9d0f52ae59bbce.jpg","object-51","valence"
"174",10776637,"image",2,"target","2fc170131665d79a6c9d0f52ae59bbce.jpg","object-78","arousal"
"175",10776637,"image",4,"target","a3c07962576e26bf069a586249b4729d.jpg","object-51","valence"
"176",10776637,"image",3,"target","a3c07962576e26bf069a586249b4729d.jpg","object-78","arousal"
"177",10776637,"image",4,"target","fed68ff713db60eac84b65889ac38028.jpg","object-51","valence"
"178",10776637,"image",2,"target","fed68ff713db60eac84b65889ac38028.jpg","object-78","arousal"
"179",10776637,"image",1,"target","Destruction 2.jpg","object-51","valence"
"180",10776637,"image",8,"target","Destruction 2.jpg","object-78","arousal"
"181",10776637,"image",4,"target","NegMidNonsoc_21.jpg","object-51","valence"
"182",10776637,"image",2,"target","NegMidNonsoc_21.jpg","object-78","arousal"
"183",10776637,"image",6,"target","fec7756d48d357270fcfa030a36914be.jpg","object-51","valence"
"184",10776637,"image",3,"target","fec7756d48d357270fcfa030a36914be.jpg","object-78","arousal"
"185",10776637,"image",4,"target","98e1de33aecf9079ec4fef36414a6b93.jpg","object-51","valence"
"186",10776637,"image",3,"target","98e1de33aecf9079ec4fef36414a6b93.jpg","object-78","arousal"
"187",10776637,"image",3,"target","Landscapes_033_h.jpg","object-51","valence"
"188",10776637,"image",8,"target","Landscapes_033_h.jpg","object-78","arousal"
"189",10776637,"image",6,"target","ffef5b6ece3a2dda515e981c7b22d3fd.jpg","object-51","valence"
"190",10776637,"image",3,"target","ffef5b6ece3a2dda515e981c7b22d3fd.jpg","object-78","arousal"
"191",10776637,"image",6,"target","2f07d5fc0d8464c81783119fa98c83ec.jpg","object-51","valence"
"192",10776637,"image",6,"target","2f07d5fc0d8464c81783119fa98c83ec.jpg","object-78","arousal"
"193",10776637,"image",6,"target","05e0ccb29e66f0205468594900a6183c.jpg","object-51","valence"
"194",10776637,"image",6,"target","05e0ccb29e66f0205468594900a6183c.jpg","object-78","arousal"
"195",10776637,"image",6,"target","NeutMidNonsoc_8.jpg","object-51","valence"
"196",10776637,"image",5,"target","NeutMidNonsoc_8.jpg","object-78","arousal"
"197",10776637,"image",5,"target","ccffa36581808a0f8ac1dbc98ffac6d4.jpg","object-51","valence"
"198",10776637,"image",2,"target","ccffa36581808a0f8ac1dbc98ffac6d4.jpg","object-78","arousal"
"199",10776637,"image",7,"target","Lake 11.jpg","object-51","valence"
"200",10776637,"image",7,"target","Lake 11.jpg","object-78","arousal"
"201",10778628,"image",9,"target","9429c67f6cd1ee28595e7f303408801b.jpg","object-51","valence"
"202",10778628,"image",9,"target","9429c67f6cd1ee28595e7f303408801b.jpg","object-78","arousal"
"203",10778628,"image",5,"target","98e1de33aecf9079ec4fef36414a6b93.jpg","object-51","valence"
"204",10778628,"image",5,"target","98e1de33aecf9079ec4fef36414a6b93.jpg","object-78","arousal"
"205",10778628,"image",4,"target","05d8821c014d8c5811839b8245fef778.jpg","object-51","valence"
"206",10778628,"image",6,"target","05d8821c014d8c5811839b8245fef778.jpg","object-78","arousal"
"207",10778628,"image",1,"target","3ad1eaf82976bfcd62fdf7efe3f73714.jpg","object-51","valence"
"208",10778628,"image",9,"target","3ad1eaf82976bfcd62fdf7efe3f73714.jpg","object-78","arousal"
"209",10778628,"image",9,"target","fec7756d48d357270fcfa030a36914be.jpg","object-51","valence"
"210",10778628,"image",9,"target","fec7756d48d357270fcfa030a36914be.jpg","object-78","arousal"
"211",10778628,"image",1,"target","NeutMidNonsoc_6.jpg","object-51","valence"
"212",10778628,"image",9,"target","NeutMidNonsoc_6.jpg","object-78","arousal"
"213",10778628,"image",9,"target","Lake 11.jpg","object-51","valence"
"214",10778628,"image",9,"target","Lake 11.jpg","object-78","arousal"
"215",10778628,"image",1,"target","Landscapes_058_h.jpg","object-51","valence"
"216",10778628,"image",9,"target","Landscapes_058_h.jpg","object-78","arousal"
"217",10778628,"image",6,"target","2fc170131665d79a6c9d0f52ae59bbce.jpg","object-51","valence"
"218",10778628,"image",6,"target","2fc170131665d79a6c9d0f52ae59bbce.jpg","object-78","arousal"
"219",10778628,"image",1,"target","Destruction 2.jpg","object-51","valence"
"220",10778628,"image",9,"target","Destruction 2.jpg","object-78","arousal"
"221",10778628,"image",3,"target","2f07d5fc0d8464c81783119fa98c83ec.jpg","object-51","valence"
"222",10778628,"image",9,"target","2f07d5fc0d8464c81783119fa98c83ec.jpg","object-78","arousal"
"223",10778628,"image",9,"target","1ded6e97d0ad65c21ef12e8872f75185.jpg","object-51","valence"
"224",10778628,"image",8,"target","1ded6e97d0ad65c21ef12e8872f75185.jpg","object-78","arousal"
"225",10778628,"image",2,"target","1e94ffb7f9974a4e16b4667988e5fe04.jpg","object-51","valence"
"226",10778628,"image",8,"target","1e94ffb7f9974a4e16b4667988e5fe04.jpg","object-78","arousal"
"227",10778628,"image",1,"target","7096db64fae6464d83aba73b658251b8.jpg","object-51","valence"
"228",10778628,"image",8,"target","7096db64fae6464d83aba73b658251b8.jpg","object-78","arousal"
"229",10778628,"image",2,"target","3e7d77afa0df3f55870ed51e1786d9dd.jpg","object-51","valence"
"230",10778628,"image",8,"target","3e7d77afa0df3f55870ed51e1786d9dd.jpg","object-78","arousal"
"231",10778628,"image",1,"target","NegMidNonsoc_21.jpg","object-51","valence"
"232",10778628,"image",7,"target","NegMidNonsoc_21.jpg","object-78","arousal"
"233",10778628,"image",1,"target","NeutMidNonsoc_8.jpg","object-51","valence"
"234",10778628,"image",8,"target","NeutMidNonsoc_8.jpg","object-78","arousal"
"235",10778628,"image",7,"target","ccffa36581808a0f8ac1dbc98ffac6d4.jpg","object-51","valence"
"236",10778628,"image",6,"target","ccffa36581808a0f8ac1dbc98ffac6d4.jpg","object-78","arousal"
"237",10778628,"image",1,"target","NegMidNonsoc_5.jpg","object-51","valence"
"238",10778628,"image",8,"target","NegMidNonsoc_5.jpg","object-78","arousal"
"239",10778628,"image",6,"target","Landscapes_112_v.jpg","object-51","valence"
"240",10778628,"image",6,"target","Landscapes_112_v.jpg","object-78","arousal"
"241",10778628,"image",9,"target","3b801dce0def3b08832596e9d9c49581.jpg","object-51","valence"
"242",10778628,"image",8,"target","3b801dce0def3b08832596e9d9c49581.jpg","object-78","arousal"
"243",10778628,"image",1,"target","06d26db007c559279f26819efcdd8c97.jpg","object-51","valence"
"244",10778628,"image",9,"target","06d26db007c559279f26819efcdd8c97.jpg","object-78","arousal"
"245",10778628,"image",2,"target","2dd0aad5b99bf1d8f7739cdc4f2ae114.jpg","object-51","valence"
"246",10778628,"image",9,"target","2dd0aad5b99bf1d8f7739cdc4f2ae114.jpg","object-78","arousal"
"247",10778628,"image",8,"target","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","object-51","valence"
"248",10778628,"image",9,"target","fe5e73a188c13e29c0d52cc4fd6f28e9.jpg","object-78","arousal"
"249",10778628,"image",9,"target","3e63504a056f9ae4d031ef5b232068fc.jpg","object-51","valence"
"250",10778628,"image",9,"target","3e63504a056f9ae4d031ef5b232068fc.jpg","object-78","arousal"
"251",10778628,"image",3,"target","05e0ccb29e66f0205468594900a6183c.jpg","object-51","valence"
"252",10778628,"image",7,"target","05e0ccb29e66f0205468594900a6183c.jpg","object-78","arousal"
"253",10778628,"image",8,"target","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","object-51","valence"
"254",10778628,"image",9,"target","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","object-78","arousal"
"255",10778628,"image",9,"target","5f560d80ea8dffbb6034d4d3478377d4.jpg","object-51","valence"
"256",10778628,"image",7,"target","5f560d80ea8dffbb6034d4d3478377d4.jpg","object-78","arousal"
"257",10778628,"image",9,"target","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","object-51","valence"
"258",10778628,"image",9,"target","ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg","object-78","arousal"
"259",10778628,"image",2,"target","6e2de1dd06b840fb0c30558af808c851.jpg","object-51","valence"
"260",10778628,"image",9,"target","6e2de1dd06b840fb0c30558af808c851.jpg","object-78","arousal"
"261",10778628,"image",1,"target","01eaa9d3e93ad66b6182e77489aa56ea.jpg","object-51","valence"
"262",10778628,"image",9,"target","01eaa9d3e93ad66b6182e77489aa56ea.jpg","object-78","arousal"
"263",10778628,"image",8,"target","ffef5b6ece3a2dda515e981c7b22d3fd.jpg","object-51","valence"
"264",10778628,"image",7,"target","ffef5b6ece3a2dda515e981c7b22d3fd.jpg","object-78","arousal"
"265",10778628,"image",1,"target","Solar panel 1.jpg","object-51","valence"
"266",10778628,"image",7,"target","Solar panel 1.jpg","object-78","arousal"
"267",10778628,"image",1,"target","c9b37e0251acb3852cfa984af9422718.jpg","object-51","valence"
"268",10778628,"image",9,"target","c9b37e0251acb3852cfa984af9422718.jpg","object-78","arousal"
"269",10778628,"image",6,"target","fc7354a0bbef269140ce76bff20aa450.jpg","object-51","valence"
"270",10778628,"image",9,"target","fc7354a0bbef269140ce76bff20aa450.jpg","object-78","arousal"
"271",10778628,"image",1,"target","NegMidNonsoc_17.jpg","object-51","valence"
"272",10778628,"image",8,"target","NegMidNonsoc_17.jpg","object-78","arousal"
"273",10778628,"image",2,"target","Landscapes_033_h.jpg","object-51","valence"
"274",10778628,"image",7,"target","Landscapes_033_h.jpg","object-78","arousal"
"275",10778628,"image",5,"target","6a428827436fae2f1dc16138cf69fbc3.jpg","object-51","valence"
"276",10778628,"image",5,"target","6a428827436fae2f1dc16138cf69fbc3.jpg","object-78","arousal"
"277",10778628,"image",4,"target","fef52d08fa721202036106f66f1505ac.jpg","object-51","valence"
"278",10778628,"image",6,"target","fef52d08fa721202036106f66f1505ac.jpg","object-78","arousal"
"279",10778628,"image",5,"target","fe20fb1d85b9e167448d8579e2dc9afa.jpg","object-51","valence"
"280",10778628,"image",5,"target","fe20fb1d85b9e167448d8579e2dc9afa.jpg","object-78","arousal"
"281",10778628,"image",1,"target","7c4f3f4fb26ac0b47b8ba51ee8b0979b.jpg","object-51","valence"
"282",10778628,"image",6,"target","7c4f3f4fb26ac0b47b8ba51ee8b0979b.jpg","object-78","arousal"
"283",10778628,"image",2,"target","a3c07962576e26bf069a586249b4729d.jpg","object-51","valence"
"284",10778628,"image",7,"target","a3c07962576e26bf069a586249b4729d.jpg","object-78","arousal"
"285",10778628,"image",4,"target","3aa18c7989615cbf9e84d32f0039e64f.jpg","object-51","valence"
