Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1725476069180,04/09/2024 18:54:29,1725454469180,-6,04/09/2024 06:54:29,187932,2,task-7sj6,repeat-tj2w#1,39883514,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Advance (Memory),2,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725476071446,04/09/2024 18:54:31,1725454471446,-6,04/09/2024 06:54:31,187932,2,task-7sj6,repeat-tj2w#1,39883514,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Advance (Memory),2,Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2287.9,2280.5000000000005,2287.9,2287.9,2280.5000000000005,2287.9,1,2287.9,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,
3,1725476071447,04/09/2024 18:54:31,1725454471447,-6,04/09/2024 06:54:31,187932,2,task-7sj6,repeat-tj2w#1,39883514,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Advance (Memory),2,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725476549009,04/09/2024 19:02:29,1725462149009,-4,04/09/2024 11:02:29,187932,2,task-7sj6,repeat-tj2w#2,39883595,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Advance (Memory),2,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725476551420,04/09/2024 19:02:31,1725462151420,-4,04/09/2024 11:02:31,187932,2,task-7sj6,repeat-tj2w#2,39883595,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Advance (Memory),2,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,2436.207999952316,2428.908,2436.207999952316,2436.207999952316,2428.908,2436.207999952316,1,2436.207999952316,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,
3,1725476551421,04/09/2024 19:02:31,1725462151421,-4,04/09/2024 11:02:31,187932,2,task-7sj6,repeat-tj2w#2,39883595,BLIND,11662181,,complete,,66d8ae0d3298d7efa412e820,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Advance (Memory),2,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
