Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
11,1725476126894,04/09/2024 18:55:26,1725454526894,-6,04/09/2024 06:55:26,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,8,image,Screen 3,zz7hbh,1,response,2,4946.600000005958,4944.5,4946.600000005958,4946.600000005958,4944.5,4946.600000005958,1,4946.600000005958,0,0,,Keyboard Response,Image,1,object-1907,image,48,Lake 11.jpg,target,J,,filler,
12,1725476131279,04/09/2024 18:55:31,1725454531279,-6,04/09/2024 06:55:31,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,9,image,Screen 3,zz7hbh,1,response,5,4387.199999999997,4378.799999999996,4387.199999999997,4387.199999999997,4378.799999999996,4387.199999999997,1,4387.199999999997,0,0,,Keyboard Response,Image,1,object-1907,image,95,7c4f3f4fb26ac0b47b8ba51ee8b0979b.jpg,target,J,,filler,
13,1725476136205,04/09/2024 18:55:36,1725454536205,-6,04/09/2024 06:55:36,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,10,image,Screen 3,zz7hbh,1,response,2,4935.0999999880805,4927.700000000004,4935.0999999880805,4935.0999999880805,4927.700000000004,4935.0999999880805,1,4935.0999999880805,0,0,,Keyboard Response,Image,1,object-1907,image,2071,3ed4c65eb4ba874e455ada92d56a3ff9.jpg,target,J,,filler,
14,1725476139153,04/09/2024 18:55:39,1725454539153,-6,04/09/2024 06:55:39,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,11,image,Screen 3,zz7hbh,1,response,1,2955.2999999940366,2946.899999999994,2955.2999999940366,2955.2999999940366,2946.899999999994,2955.2999999940366,1,2955.2999999940366,0,0,,Keyboard Response,Image,1,object-1907,image,1591,5bcf13250037ead4c56e6af86bc07c6e.jpg,target,F,,target,
15,1725476142037,04/09/2024 18:55:42,1725454542037,-6,04/09/2024 06:55:42,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,12,image,Screen 3,zz7hbh,1,response,5,2892.2000000059634,2880.100000000006,2892.2000000059634,2892.2000000059634,2880.100000000006,2892.2000000059634,1,2892.2000000059634,0,0,,Keyboard Response,Image,1,object-1907,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,J,,filler,
16,1725476146219,04/09/2024 18:55:46,1725454546219,-6,04/09/2024 06:55:46,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,13,image,Screen 3,zz7hbh,1,response,2,4193.499999982116,4178.800000000003,4193.499999982116,4193.499999982116,4178.800000000003,4193.499999982116,1,4193.499999982116,0,0,,Keyboard Response,Image,1,object-1907,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,F,,target,
17,1725476149141,04/09/2024 18:55:49,1725454549141,-6,04/09/2024 06:55:49,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,14,image,Screen 3,zz7hbh,1,response,4,2936.8000000059546,2930.199999999997,2936.8000000059546,2936.8000000059546,2930.199999999997,2936.8000000059546,1,2936.8000000059546,0,0,,Keyboard Response,Image,1,object-1907,image,2161,fe5e73a188c13e29c0d52cc4fd6f28e9.jpg,target,J,,filler,
18,1725476152370,04/09/2024 18:55:52,1725454552370,-6,04/09/2024 06:55:52,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,15,image,Screen 3,zz7hbh,1,response,2,3236.1000000059576,3229.899999999994,3236.1000000059576,3236.1000000059576,3229.899999999994,3236.1000000059576,1,3236.1000000059576,0,0,,Keyboard Response,Image,1,object-1907,image,335,2a108677e97ca05cfd3ffaf1bcf4ab6f.jpg,target,F,,target,
19,1725476155408,04/09/2024 18:55:55,1725454555408,-6,04/09/2024 06:55:55,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,16,image,Screen 3,zz7hbh,1,response,5,3044.0999999821215,3029.800000000003,3044.0999999821215,3044.0999999821215,3029.800000000003,3044.0999999821215,1,3044.0999999821215,0,0,,Keyboard Response,Image,1,object-1907,image,343,4e15898fb6cb711be8d1e1e816b03784.jpg,target,F,,target,
20,1725476159130,04/09/2024 18:55:59,1725454559130,-6,04/09/2024 06:55:59,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,17,image,Screen 3,zz7hbh,1,response,2,3736,3729.5,3736,3736,3729.5,3736,1,3736,0,0,,Keyboard Response,Image,1,object-1907,image,2071,4bdbc769d61a05c14ff2061b68ffd00e.jpg,target,F,,target,
