Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
11,1725476494879,04/09/2024 19:01:34,1725454894879,-6,04/09/2024 07:01:34,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,continue,,5017.9000000000015,5011.200000000001,5017.9000000000015,5017.9000000000015,5011.200000000001,5017.9000000000015,1,5017.9000000000015,0,0,,Click To Continue,Continue Button,7,object-69,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,,J,,filler,
12,1725476494879,04/09/2024 19:01:34,1725454894879,-6,04/09/2024 07:01:34,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,response,8,2830.2000000000007,5011.200000000001,5018.100000017883,2830.2000000000007,5011.200000000001,5018.100000017883,1,2830.2000000000007,2187.900000017882,0,,Slider,Slider,4,object-51,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,,J,,filler,
13,1725476494881,04/09/2024 19:01:34,1725454894881,-6,04/09/2024 07:01:34,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,info,,9.600000005961192,0,9.600000005961192,9.600000005961192,0,9.600000005961192,1,9.600000005961192,0,0,,Slider,Slider,4,object-78,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,,J,,filler,
14,1725476499086,04/09/2024 19:01:39,1725454899086,-6,04/09/2024 07:01:39,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,continue,,4214.400000017882,4212.100000000002,4214.400000017882,4214.400000017882,4212.100000000002,4214.400000017882,1,4214.400000017882,0,0,,Click To Continue,Continue Button,7,object-82,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,,J,,filler,
15,1725476499087,04/09/2024 19:01:39,1725454899087,-6,04/09/2024 07:01:39,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,response,5,2463.9000000000015,4212.100000000002,4214.800000023843,2463.9000000000015,4212.100000000002,4214.800000023843,1,2463.9000000000015,1750.9000000238411,0,,Slider,Slider,4,object-78,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,,J,,filler,
16,1725476499095,04/09/2024 19:01:39,1725454899095,-6,04/09/2024 07:01:39,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,3,image,Screen 1,l8m57c,1,info,,11.00000000595901,0,11.00000000595901,11.00000000595901,0,11.00000000595901,1,11.00000000595901,0,0,,Slider,Slider,4,object-51,image,1511,5a23a47679198e010456386f5e261a82.jpg,target,,F,,target,
17,1725476505799,04/09/2024 19:01:45,1725454905799,-6,04/09/2024 07:01:45,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,3,image,Screen 1,l8m57c,1,continue,,6715.30000001788,6709.299999999996,6715.30000001788,6715.30000001788,6709.299999999996,6715.30000001788,1,6715.30000001788,0,0,,Click To Continue,Continue Button,7,object-69,image,1511,5a23a47679198e010456386f5e261a82.jpg,target,,F,,target,
18,1725476505802,04/09/2024 19:01:45,1725454905802,-6,04/09/2024 07:01:45,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,3,image,Screen 1,l8m57c,1,response,1,5460.399999999998,6709.299999999996,6717.5999999999985,5460.399999999998,6709.299999999996,6717.5999999999985,1,5460.399999999998,1257.2000000000007,0,,Slider,Slider,4,object-51,image,1511,5a23a47679198e010456386f5e261a82.jpg,target,,F,,target,
19,1725476505806,04/09/2024 19:01:45,1725454905806,-6,04/09/2024 07:01:45,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,3,image,Screen 2,7vpf45,2,info,,12.400000023844768,0,12.400000023844768,12.400000023844768,0,12.400000023844768,1,12.400000023844768,0,0,,Slider,Slider,4,object-78,image,1511,5a23a47679198e010456386f5e261a82.jpg,target,,F,,target,
20,1725476509236,04/09/2024 19:01:49,1725454909236,-6,04/09/2024 07:01:49,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,3,image,Screen 2,7vpf45,2,continue,,3442.7000000059634,3429.5,3442.7000000059634,3442.7000000059634,3429.5,3442.7000000059634,1,3442.7000000059634,0,0,,Click To Continue,Continue Button,7,object-82,image,1511,5a23a47679198e010456386f5e261a82.jpg,target,,F,,target,
21,1725476509236,04/09/2024 19:01:49,1725454909236,-6,04/09/2024 07:01:49,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,3,image,Screen 2,7vpf45,2,response,4,1864.4000000000015,3429.5,3443.0000000178843,1864.4000000000015,3429.5,3443.0000000178843,1,1864.4000000000015,1578.6000000178828,0,,Slider,Slider,4,object-78,image,1511,5a23a47679198e010456386f5e261a82.jpg,target,,F,,target,
22,1725476509246,04/09/2024 19:01:49,1725454909246,-6,04/09/2024 07:01:49,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,4,image,Screen 1,l8m57c,1,info,,16.69999999999709,0,16.69999999999709,16.69999999999709,0,16.69999999999709,1,16.69999999999709,0,0,,Slider,Slider,4,object-51,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
