Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
15,1724950961592,29/08/2024 17:02:41,1724936561592,-4,29/08/2024 09:02:41,187004,3,task-wzke,repeat-3dmk#2,39777488,BLIND,11638973,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1024x576,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,
1,1725391900088,03/09/2024 19:31:40,1725373900088,-5,03/09/2024 09:31:40,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,1585x724,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1725391916958,03/09/2024 19:31:56,1725373916958,-5,03/09/2024 09:31:56,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,1585x724,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,16815.199999809265,16800.3,16815.199999809265,16815.199999809265,16800.3,16815.199999809265,1,16815.199999809265,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1725391919914,03/09/2024 19:31:59,1725373919914,-5,03/09/2024 09:31:59,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,2971.100000095368,2966.7000000000007,2971.100000095368,2971.100000095368,2966.7000000000007,2971.100000095368,1,2971.100000095368,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1725391922914,03/09/2024 19:32:02,1725373922914,-5,03/09/2024 09:32:02,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3003.9000000953674,2999.7000000000007,3003.9000000953674,3003.9000000953674,2999.7000000000007,3003.9000000953674,1,3003.9000000953674,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1725391923911,03/09/2024 19:32:03,1725373923911,-5,03/09/2024 09:32:03,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1000.0999999999985,1000.0999999999985,1000.0999999999985,1000.0999999999985,1000.0999999999985,1000.0999999999985,0,1000.0999999999985,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1725391924894,03/09/2024 19:32:04,1725373924894,-5,03/09/2024 09:32:04,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1725391925740,03/09/2024 19:32:05,1725373925740,-5,03/09/2024 09:32:05,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,846.4000000953674,833.5999999999985,846.4000000953674,846.4000000953674,833.5999999999985,846.4000000953674,1,846.4000000953674,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1725391926727,03/09/2024 19:32:06,1725373926727,-5,03/09/2024 09:32:06,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,499.8000000000029,499.8000000000029,499.8000000000029,499.8000000000029,499.8000000000029,499.8000000000029,1,499.8000000000029,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1725391927642,03/09/2024 19:32:07,1725373927642,-5,03/09/2024 09:32:07,187004,3,task-wzke,repeat-3dmk#1,39866093,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1902x1071,688x702,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,F,916.1999999046311,899.8999999999978,916.1999999046311,916.1999999046311,899.8999999999978,916.1999999046311,1,916.1999999046311,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
