Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
1,1724950341733,29/08/2024 16:52:21,1724928741733,-6,29/08/2024 04:52:21,187004,3,task-efz1,,39777331,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x788,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724950362626,29/08/2024 16:52:42,1724928762626,-6,29/08/2024 04:52:42,187004,3,task-efz1,,39777331,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x788,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,20909.799999988078,20901.4,20909.799999988078,20909.799999988078,20901.4,20909.799999988078,1,20909.799999988078,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1724950362632,29/08/2024 16:52:42,1724928762632,-6,29/08/2024 04:52:42,187004,3,task-efz1,,39777331,BLIND,11639003,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x788,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1724950531226,29/08/2024 16:55:31,1724936131226,-4,29/08/2024 08:55:31,187004,3,task-efz1,,39777393,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1724950605517,29/08/2024 16:56:45,1724936205517,-4,29/08/2024 08:56:45,187004,3,task-efz1,,39777393,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,74307.118,74290.818,74307.118,74307.118,74290.818,74307.118,1,74307.118,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1724950605534,29/08/2024 16:56:45,1724936205534,-4,29/08/2024 08:56:45,187004,3,task-efz1,,39777393,BLIND,11639011,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1536x864,1536x730,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725391811744,03/09/2024 19:30:11,1725370211744,-6,03/09/2024 07:30:11,187004,3,task-efz1,,39866061,BLIND,11658163,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Study Welcome,13,Inaccurate~Accurate,2,,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725391839373,03/09/2024 19:30:39,1725370239373,-6,03/09/2024 07:30:39,187004,3,task-efz1,,39866061,BLIND,11658163,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Study Welcome,13,Inaccurate~Accurate,2,,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,27638.4,27633.7,27638.4,27638.4,27633.7,27638.4,1,27638.4,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725391839375,03/09/2024 19:30:39,1725370239375,-6,03/09/2024 07:30:39,187004,3,task-efz1,,39866061,BLIND,11658163,,rejected - manual,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Study Welcome,13,Inaccurate~Accurate,2,,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725391859197,03/09/2024 19:30:59,1725373859197,-5,03/09/2024 09:30:59,187004,3,task-efz1,,39866066,BLIND,11658164,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x768,1024x641,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
