Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
5,1725038448086,30/08/2024 17:20:48,1725024048086,-4,30/08/2024 09:20:48,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,39797165,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,11972.900000000001,11967.599999999999,11972.900000000001,11972.900000000001,11967.599999999999,11972.900000000001,1,11972.900000000001,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1725038464872,30/08/2024 17:21:04,1725024064872,-4,30/08/2024 09:21:04,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,39797165,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,15791.599999999999,15784.199999999997,15791.599999999999,15791.599999999999,15784.199999999997,15791.599999999999,0,15791.599999999999,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1725038465866,30/08/2024 17:21:05,1725024065866,-4,30/08/2024 09:21:05,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,39797165,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1725038509095,30/08/2024 17:21:49,1725024109095,-4,30/08/2024 09:21:49,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725038511636,30/08/2024 17:21:51,1725024111636,-4,30/08/2024 09:21:51,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,2564.9720000476837,2550.3720000000003,2564.9720000476837,2564.9720000476837,2550.3720000000003,2564.9720000476837,1,2564.9720000476837,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725038514634,30/08/2024 17:21:54,1725024114634,-4,30/08/2024 09:21:54,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3013.1000000476834,3000.3999999999996,3013.1000000476834,3013.1000000476834,3000.3999999999996,3013.1000000476834,1,3013.1000000476834,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725038517828,30/08/2024 17:21:57,1725024117828,-4,30/08/2024 09:21:57,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,3201.100000000002,3184.2000000000007,3201.100000000002,3201.100000000002,3184.2000000000007,3201.100000000002,1,3201.100000000002,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725038522881,30/08/2024 17:22:02,1725024122881,-4,30/08/2024 09:22:02,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,4074.7999999999993,4066.5,4074.7999999999993,4074.7999999999993,4066.5,4074.7999999999993,1,4074.7999999999993,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1725038526964,30/08/2024 17:22:06,1725024126964,-4,30/08/2024 09:22:06,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,3091.0000000715263,3084.2000000000007,3091.0000000715263,3091.0000000715263,3084.2000000000007,3091.0000000715263,1,3091.0000000715263,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1725038527958,30/08/2024 17:22:07,1725024127958,-4,30/08/2024 09:22:07,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#3,39797200,BLIND,11638959,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1366x768,1358x652,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
