Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Manipulation: Spreadsheet,Store: Total,Store: correct
3,1736883172789,14/01/2025 19:32:52,1736865172789,-5,14/01/2025 09:32:52,153647,19,task-icdl,,42476957,BLIND,12394116,,complete,,6786b891c88050051b38c208,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x960,1021x490,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,456752,,,,0,,,,,,,,,,,,,,,,
1,1736883238521,14/01/2025 19:33:58,1736854438521,-8,14/01/2025 03:33:58,153647,19,task-icdl,,42477174,BLIND,12394189,,complete,,6786bb6b4357b722adcce5fe,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,767x730,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736883241047,14/01/2025 19:34:01,1736854441047,-8,14/01/2025 03:34:01,153647,19,task-icdl,,42477174,BLIND,12394189,,complete,,6786bb6b4357b722adcce5fe,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,767x730,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,2553.938,2550.138000000001,2553.938,2553.938,2550.138000000001,2553.938,1,2553.938,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1736883241052,14/01/2025 19:34:01,1736854441052,-8,14/01/2025 03:34:01,153647,19,task-icdl,,42477174,BLIND,12394189,,complete,,6786bb6b4357b722adcce5fe,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,767x730,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,2508,,,,0,,,,,,,,,,,,,,,,
1,1736884465609,14/01/2025 19:54:25,1736866465609,-5,14/01/2025 09:54:25,153647,19,task-icdl,,42477774,BLIND,12394289,,complete,,6786c08910cbde643ac97098,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736884467811,14/01/2025 19:54:27,1736866467811,-5,14/01/2025 09:54:27,153647,19,task-icdl,,42477774,BLIND,12394289,,complete,,6786c08910cbde643ac97098,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,3847.4000000953674,3842.8,3847.4000000953674,3847.4000000953674,3842.8,3847.4000000953674,1,3847.4000000953674,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1736884467811,14/01/2025 19:54:27,1736866467811,-5,14/01/2025 09:54:27,153647,19,task-icdl,,42477774,BLIND,12394289,,complete,,6786c08910cbde643ac97098,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x695,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,2198,,,,0,,,,,,,,,,,,,,,,
1,1736884766985,14/01/2025 19:59:26,1736859566985,-7,14/01/2025 05:59:26,153647,19,task-icdl,,42477900,BLIND,12394317,,complete,,6786c1b2e6554859012aa871,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,780x347,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736884768964,14/01/2025 19:59:28,1736859568964,-7,14/01/2025 05:59:28,153647,19,task-icdl,,42477900,BLIND,12394317,,complete,,6786c1b2e6554859012aa871,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,780x347,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,1989.099999976158,1980.0999999999995,1989.099999976158,1989.099999976158,1980.0999999999995,1989.099999976158,1,1989.099999976158,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1736884768964,14/01/2025 19:59:28,1736859568964,-7,14/01/2025 05:59:28,153647,19,task-icdl,,42477900,BLIND,12394317,,complete,,6786c1b2e6554859012aa871,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,780x347,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,1970,,,,0,,,,,,,,,,,,,,,,
1,1736886243410,14/01/2025 20:24:03,1736857443410,-8,14/01/2025 04:24:03,153647,19,task-icdl,,42478518,BLIND,12394411,,complete,,6786c6956d0041c89532821f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1920x1200,1865x1041,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736886246356,14/01/2025 20:24:06,1736857446356,-8,14/01/2025 04:24:06,153647,19,task-icdl,,42478518,BLIND,12394411,,complete,,6786c6956d0041c89532821f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1920x1200,1865x1041,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,2955.98,2949.2400000000002,2955.98,2955.98,2949.2400000000002,2955.98,1,2955.98,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1736886246358,14/01/2025 20:24:06,1736857446358,-8,14/01/2025 04:24:06,153647,19,task-icdl,,42478518,BLIND,12394411,,complete,,6786c6956d0041c89532821f,computer,Desktop or Laptop,Mac OS 10.15,Firefox 134.0,1920x1200,1865x1041,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,2933,,,,0,,,,,,,,,,,,,,,,
1,1736886720525,14/01/2025 20:32:00,1736865120525,-6,14/01/2025 08:32:00,153647,19,task-icdl,,42478730,BLIND,12394465,,complete,,6786c883480d31c2b71c40f3,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x776,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736886722856,14/01/2025 20:32:02,1736865122856,-6,14/01/2025 08:32:02,153647,19,task-icdl,,42478730,BLIND,12394465,,complete,,6786c883480d31c2b71c40f3,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x776,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,2347.8340000000007,2331.3340000000007,2347.8340000000007,2347.8340000000007,2331.3340000000007,2347.8340000000007,1,2347.8340000000007,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1736886722859,14/01/2025 20:32:02,1736865122859,-6,14/01/2025 08:32:02,153647,19,task-icdl,,42478730,BLIND,12394465,,complete,,6786c883480d31c2b71c40f3,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x776,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,2322,,,,0,,,,,,,,,,,,,,,,
1,1736886781279,14/01/2025 20:33:01,1736868781279,-5,14/01/2025 10:33:01,153647,19,task-icdl,,42478754,BLIND,12394470,,complete,,6786c8fb6d0041c89532830f,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736886784215,14/01/2025 20:33:04,1736868784215,-5,14/01/2025 10:33:04,153647,19,task-icdl,,42478754,BLIND,12394470,,complete,,6786c8fb6d0041c89532830f,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,2951.312,2945.2119999999995,2951.312,2951.312,2945.2119999999995,2951.312,1,2951.312,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1736886784217,14/01/2025 20:33:04,1736868784217,-5,14/01/2025 10:33:04,153647,19,task-icdl,,42478754,BLIND,12394470,,complete,,6786c8fb6d0041c89532830f,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,2919,,,,0,,,,,,,,,,,,,,,,
1,1736886872446,14/01/2025 20:34:32,1736858072446,-8,14/01/2025 04:34:32,153647,19,task-icdl,,42478809,BLIND,12394468,,complete,,6786c8fb7e4f7019ff80b574,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736886877372,14/01/2025 20:34:37,1736858077372,-8,14/01/2025 04:34:37,153647,19,task-icdl,,42478809,BLIND,12394468,,complete,,6786c8fb7e4f7019ff80b574,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,4938.637999999255,4932.138000000001,4938.637999999255,4938.637999999255,4932.138000000001,4938.637999999255,1,4938.637999999255,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
