Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
7,1726679362622,18/09/2024 17:09:22,1726661362622,-5,18/09/2024 07:09:22,187004,3,task-xcgh,repeat-3dmk#1->-repeat-tj2w#1,40145209,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Memory Practice Clone,7,Accurate,2,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726680207978,18/09/2024 17:23:27,1726665807978,-4,18/09/2024 09:23:27,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726680212267,18/09/2024 17:23:32,1726665812267,-4,18/09/2024 09:23:32,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,4292.74,4290.16,4292.74,4292.74,4290.16,4292.74,1,4292.74,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726680215266,18/09/2024 17:23:35,1726665815266,-4,18/09/2024 09:23:35,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.58,3001.0200000000004,3001.58,3001.58,3001.0200000000004,3001.58,1,3001.58,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726680218601,18/09/2024 17:23:38,1726665818601,-4,18/09/2024 09:23:38,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,3335.5599999999995,3333.0599999999995,3335.5599999999995,3335.5599999999995,3333.0599999999995,3335.5599999999995,1,3335.5599999999995,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1726680223624,18/09/2024 17:23:43,1726665823624,-4,18/09/2024 09:23:43,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,4024.879999999999,4022.319999999998,4024.879999999999,4024.879999999999,4022.319999999998,4024.879999999999,0,4024.879999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1726680229165,18/09/2024 17:23:49,1726665829165,-4,18/09/2024 09:23:49,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,6,4541.919999999998,4538.98,4541.919999999998,4541.919999999998,4538.98,4541.919999999998,0,4541.919999999998,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,3
7,1726680230163,18/09/2024 17:23:50,1726665830163,-4,18/09/2024 09:23:50,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#1,40145574,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726680246560,18/09/2024 17:24:06,1726665846560,-4,18/09/2024 09:24:06,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726680247592,18/09/2024 17:24:07,1726665847592,-4,18/09/2024 09:24:07,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1036.3799999999999,1030.36,1036.3799999999999,1036.3799999999999,1030.36,1036.3799999999999,1,1036.3799999999999,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726680250589,18/09/2024 17:24:10,1726665850589,-4,18/09/2024 09:24:10,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.38,2999.4800000000005,3001.38,3001.38,2999.4800000000005,3001.38,1,3001.38,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726680251505,18/09/2024 17:24:11,1726665851505,-4,18/09/2024 09:24:11,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,917.8999999999996,915.6199999999999,917.8999999999996,917.8999999999996,915.6199999999999,917.8999999999996,1,917.8999999999996,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1726680258298,18/09/2024 17:24:18,1726665858298,-4,18/09/2024 09:24:18,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,5795.86,5794.04,5795.86,5795.86,5794.04,5795.86,1,5795.86,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1726680264444,18/09/2024 17:24:24,1726665864444,-4,18/09/2024 09:24:24,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,5149.18,5145.9000000000015,5149.18,5149.18,5145.9000000000015,5149.18,1,5149.18,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1726680265442,18/09/2024 17:24:25,1726665865442,-4,18/09/2024 09:24:25,187004,3,task-xcgh,repeat-3dmk#2->-repeat-tj2w#2,40145599,BLIND,11716968,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 130.0,1707x960,1706x827,,,0,Memory Practice Clone,7,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726683225098,18/09/2024 18:13:45,1726665225098,-5,18/09/2024 08:13:45,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
