Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1726683461859,18/09/2024 18:17:41,1726665461859,-5,18/09/2024 08:17:41,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726683464661,18/09/2024 18:17:44,1726665464661,-5,18/09/2024 08:17:44,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,2700.246999999999,2683.5809999999997,2700.246999999999,2700.246999999999,2683.5809999999997,2700.246999999999,1,2700.246999999999,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726683496248,18/09/2024 18:18:16,1726665496248,-5,18/09/2024 08:18:16,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,31599.961000000007,31583.295000000002,31599.961000000007,31599.961000000007,31583.295000000002,31599.961000000007,1,31599.961000000007,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1726683496269,18/09/2024 18:18:16,1726665496269,-5,18/09/2024 08:18:16,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.666000000004715,0,16.666000000004715,16.666000000004715,0,16.666000000004715,1,16.666000000004715,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726683502400,18/09/2024 18:18:22,1726665502400,-5,18/09/2024 08:18:22,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,6163.089000095366,6149.754000000001,6163.089000095366,6163.089000095366,6149.754000000001,6163.089000095366,1,6163.089000095366,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1726683502401,18/09/2024 18:18:22,1726665502401,-5,18/09/2024 08:18:22,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,3016.546000000002,6149.754000000001,6166.4200000000055,3016.546000000002,6149.754000000001,6166.4200000000055,1,3016.546000000002,3149.8740000000034,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1726683502410,18/09/2024 18:18:22,1726665502410,-5,18/09/2024 08:18:22,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.666000000004715,0,16.666000000004715,16.666000000004715,0,16.666000000004715,1,16.666000000004715,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1726683505103,18/09/2024 18:18:25,1726665505103,-5,18/09/2024 08:18:25,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,2726.1350000476814,2717.0369999999966,2726.1350000476814,2726.1350000476814,2717.0369999999966,2726.1350000476814,1,2726.1350000476814,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1726683505103,18/09/2024 18:18:25,1726665505103,-5,18/09/2024 08:18:25,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,1600.4150000000009,2717.0369999999966,2726.734999952314,1600.4150000000009,2717.0369999999966,2726.734999952314,1,1600.4150000000009,1126.319999952313,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1726683505105,18/09/2024 18:18:25,1726665505105,-5,18/09/2024 08:18:25,187004,3,task-o7gw,repeat-3dmk#3->-repeat-tj2w#2,40146247,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
