Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
6,1726595829136,17/09/2024 17:57:09,1726574229136,-6,17/09/2024 05:57:09,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1726595830010,17/09/2024 17:57:10,1726574230010,-6,17/09/2024 05:57:10,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,873.2000000029802,866.2999999999993,873.2000000029802,873.2000000029802,866.2999999999993,873.2000000029802,1,873.2000000029802,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1726595831002,17/09/2024 17:57:11,1726574231002,-6,17/09/2024 05:57:11,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,499.90000000000146,499.90000000000146,499.90000000000146,499.90000000000146,499.90000000000146,499.90000000000146,1,499.90000000000146,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1726595831979,17/09/2024 17:57:11,1726574231979,-6,17/09/2024 05:57:11,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,F,976.9000000059605,966.2999999999993,976.9000000059605,976.9000000059605,966.2999999999993,976.9000000059605,1,976.9000000059605,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1726595832968,17/09/2024 17:57:12,1726574232968,-6,17/09/2024 05:57:12,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
11,1726595833970,17/09/2024 17:57:13,1726574233970,-6,17/09/2024 05:57:13,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,4,image,Trials,mxeghn,1,response,J,999.5999999999985,999.5999999999985,999.5999999999985,999.5999999999985,999.5999999999985,999.5999999999985,1,999.5999999999985,0,0,,Time Limit,screen,0,screen,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
12,1726595834951,17/09/2024 17:57:14,1726574234951,-6,17/09/2024 05:57:14,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,4,image,Screen 2,2al84i,2,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,Fixation,1,object-24,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
13,1726595835622,17/09/2024 17:57:15,1726574235622,-6,17/09/2024 05:57:15,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,5,image,Trials,mxeghn,1,response,F,672.0000000089422,666.5,672.0000000089422,672.0000000089422,666.5,672.0000000089422,1,672.0000000089422,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
14,1726595836617,17/09/2024 17:57:16,1726574236617,-6,17/09/2024 05:57:16,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,5,image,Screen 2,2al84i,2,continue,,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,499.7999999999993,1,499.7999999999993,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
15,1726595836619,17/09/2024 17:57:16,1726574236619,-6,17/09/2024 05:57:16,187004,3,task-wzke,repeat-3dmk#1,40124043,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,
