Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
11,1728500818740,09/10/2024 19:06:58,1728475618740,-7,09/10/2024 05:06:58,187004,3,task-wzke,repeat-3dmk#1,40526599,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,4,image,Trials,mxeghn,1,response,F,596.9000000029773,590.0999999999985,596.9000000029773,596.9000000029773,590.0999999999985,596.9000000029773,0,596.9000000029773,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
12,1728500819733,09/10/2024 19:06:59,1728475619733,-7,09/10/2024 05:06:59,187004,3,task-wzke,repeat-3dmk#1,40526599,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,4,image,Screen 2,2al84i,2,continue,,499.8000000000029,499.8000000000029,499.8000000000029,499.8000000000029,499.8000000000029,499.8000000000029,1,499.8000000000029,0,0,,Fixation Timing,Fixation,1,object-24,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
13,1728500820733,09/10/2024 19:07:00,1728475620733,-7,09/10/2024 05:07:00,187004,3,task-wzke,repeat-3dmk#1,40526599,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,5,image,Trials,mxeghn,1,response,J,999.8999999999942,999.8999999999942,999.8999999999942,999.8999999999942,999.8999999999942,999.8999999999942,0,999.8999999999942,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
14,1728500821726,09/10/2024 19:07:01,1728475621726,-7,09/10/2024 05:07:01,187004,3,task-wzke,repeat-3dmk#1,40526599,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,5,image,Screen 2,2al84i,2,continue,,499.8999999999942,499.8999999999942,499.8999999999942,499.8999999999942,499.8999999999942,499.8999999999942,1,499.8999999999942,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
15,1728500821726,09/10/2024 19:07:01,1728475621726,-7,09/10/2024 05:07:01,187004,3,task-wzke,repeat-3dmk#1,40526599,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,
1,1728500840840,09/10/2024 19:07:20,1728475640840,-7,09/10/2024 05:07:20,187004,3,task-wzke,repeat-3dmk#2,40526629,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1728500847212,09/10/2024 19:07:27,1728475647212,-7,09/10/2024 05:07:27,187004,3,task-wzke,repeat-3dmk#2,40526629,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,6369.699999988079,6367.6,6369.699999988079,6369.699999988079,6367.6,6369.699999988079,1,6369.699999988079,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1728500848116,09/10/2024 19:07:28,1728475648116,-7,09/10/2024 05:07:28,187004,3,task-wzke,repeat-3dmk#2,40526629,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,906.0999999880787,902.6999999999989,906.0999999880787,906.0999999880787,902.6999999999989,906.0999999880787,1,906.0999999880787,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1728500851112,09/10/2024 19:07:31,1728475651112,-7,09/10/2024 05:07:31,187004,3,task-wzke,repeat-3dmk#2,40526629,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,2999.89999998808,2999.7000000000007,2999.89999998808,2999.89999998808,2999.7000000000007,2999.89999998808,1,2999.89999998808,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1728500851424,09/10/2024 19:07:31,1728475651424,-7,09/10/2024 05:07:31,187004,3,task-wzke,repeat-3dmk#2,40526629,BLIND,11824218,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,F,311.79999999701977,305.60000000000036,311.79999999701977,311.79999999701977,305.60000000000036,311.79999999701977,1,311.79999999701977,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo.jpg,#FF69B4,,1000ms,
