Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: ,Spreadsheet: randomise,Manipulation: Spreadsheet
1,1728501174367,09/10/2024 19:12:54,1728486774367,-4,09/10/2024 11:12:54,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1728501178578,09/10/2024 19:12:58,1728486778578,-4,09/10/2024 11:12:58,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),1,instructions,Screen 1,1x4yic,1,continue,,0,0,0,4237.176000011921,4230.676,4237.176000011921,1,0,0,0,,Click To Continue,Continue Button,2,object-30,instructions,,,,,,,
3,1728501181571,09/10/2024 19:13:01,1728486781571,-4,09/10/2024 11:13:01,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),1,instructions,Screen 2,1xhd4m,2,timedOut,,2999.2,2998.5999999999995,2999.2,2999.2,2998.5999999999995,2999.2,1,2999.2,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1728501182054,09/10/2024 19:13:02,1728486782054,-4,09/10/2024 11:13:02,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),1,image,Screen 4,4bf4ft,1,response,F,483.09999999999854,466.39999999999964,483.09999999999854,483.09999999999854,466.39999999999964,483.09999999999854,0,483.09999999999854,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,fe311329a304ffd9358dc8999a64086e.jpg,,1,
5,1728501182570,09/10/2024 19:13:02,1728486782570,-4,09/10/2024 11:13:02,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),1,image,Screen 4,4bf4ft,1,timedOut,,999.7999999880794,999.5,999.7999999880794,999.7999999880794,999.5,999.7999999880794,0,999.7999999880794,0,0,,Time Limit,screen,0,screen,image,,filler,J,fe311329a304ffd9358dc8999a64086e.jpg,,1,
6,1728501182969,09/10/2024 19:13:02,1728486782969,-4,09/10/2024 11:13:02,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),1,image,Screen 5,nseref,2,continue,,399.8000000000011,399.8000000000011,399.8000000000011,399.8000000000011,399.8000000000011,399.8000000000011,1,399.8000000000011,0,0,,Fixation Timing,Fixation,1,object-45,image,,filler,J,fe311329a304ffd9358dc8999a64086e.jpg,,1,
7,1728501183536,09/10/2024 19:13:03,1728486783536,-4,09/10/2024 11:13:03,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),2,image,Screen 4,4bf4ft,1,response,F,565.7999999999993,549.7999999999993,565.7999999999993,565.7999999999993,549.7999999999993,565.7999999999993,0,565.7999999999993,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,ff69a32d8c32881f234d7df35fffe3db.jpg,,1,
8,1728501183969,09/10/2024 19:13:03,1728486783969,-4,09/10/2024 11:13:03,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),2,image,Screen 4,4bf4ft,1,timedOut,,999.8999999940388,999.5999999999985,999.8999999940388,999.8999999940388,999.5999999999985,999.8999999940388,0,999.8999999940388,0,0,,Time Limit,screen,0,screen,image,,filler,J,ff69a32d8c32881f234d7df35fffe3db.jpg,,1,
9,1728501184369,09/10/2024 19:13:04,1728486784369,-4,09/10/2024 11:13:04,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),2,image,Screen 5,nseref,2,continue,,399.7000000000007,399.7000000000007,399.7000000000007,399.7000000000007,399.7000000000007,399.7000000000007,1,399.7000000000007,0,0,,Fixation Timing,Fixation,1,object-45,image,,filler,J,ff69a32d8c32881f234d7df35fffe3db.jpg,,1,
10,1728501185133,09/10/2024 19:13:05,1728486785133,-4,09/10/2024 11:13:05,187004,3,task-96pk,repeat-3dmk#2,40526801,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,stim set 1 (50 targs + skips),stim set 1 (50 targs + skips),3,image,Screen 4,4bf4ft,1,response,F,764.5999999940395,749.6000000000004,764.5999999940395,764.5999999940395,749.6000000000004,764.5999999940395,0,764.5999999940395,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,8abf8e0d7f0269df0963a5e1f0c98fc5.jpg,,1,
