Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
11,1728585934075,10/10/2024 18:45:34,1728571534075,-4,10/10/2024 10:45:34,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,8,image,Screen 3,zz7hbh,1,response,5,2772.4000000059605,2765.4000000000015,2772.4000000059605,2772.4000000059605,2765.4000000000015,2772.4000000059605,1,2772.4000000059605,0,0,,Keyboard Response,Image,1,object-1907,image,296,2fc170131665d79a6c9d0f52ae59bbce.jpg,target,J,,target,
12,1728585936591,10/10/2024 18:45:36,1728571536591,-4,10/10/2024 10:45:36,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,9,image,Screen 3,zz7hbh,1,response,4,2522.9000000119195,2515.199999999997,2522.9000000119195,2522.9000000119195,2515.199999999997,2522.9000000119195,1,2522.9000000119195,0,0,,Keyboard Response,Image,1,object-1907,image,24,3e7d77afa0df3f55870ed51e1786d9dd.jpg,target,J,,target,
13,1728585939669,10/10/2024 18:45:39,1728571539669,-4,10/10/2024 10:45:39,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,10,image,Screen 3,zz7hbh,1,response,1,3085.300000005962,3081.800000000003,3085.300000005962,3085.300000005962,3081.800000000003,3085.300000005962,1,3085.300000005962,0,0,,Keyboard Response,Image,1,object-1907,image,128,05d8821c014d8c5811839b8245fef778.jpg,target,J,,target,
14,1728585943379,10/10/2024 18:45:43,1728571543379,-4,10/10/2024 10:45:43,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,11,image,Screen 3,zz7hbh,1,response,4,3714.000000005959,3698.4000000000015,3714.000000005959,3714.000000005959,3698.4000000000015,3714.000000005959,1,3714.000000005959,0,0,,Keyboard Response,Image,1,object-1907,image,351,9429c67f6cd1ee28595e7f303408801b.jpg,target,J,,target,
15,1728585945727,10/10/2024 18:45:45,1728571545727,-4,10/10/2024 10:45:45,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,12,image,Screen 3,zz7hbh,1,response,4,2363.9000000178785,2348.7999999999956,2363.9000000178785,2363.9000000178785,2348.7999999999956,2363.9000000178785,1,2363.9000000178785,0,0,,Keyboard Response,Image,1,object-1907,image,119,2f02c39dabc2c18f71aa323771b1bd08.jpg,target,F,,filler,
16,1728585948472,10/10/2024 18:45:48,1728571548472,-4,10/10/2024 10:45:48,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,13,image,Screen 3,zz7hbh,1,response,5,2759.300000005962,2748.5999999999985,2759.300000005962,2759.300000005962,2748.5999999999985,2759.300000005962,1,2759.300000005962,0,0,,Keyboard Response,Image,1,object-1907,image,343,4e15898fb6cb711be8d1e1e816b03784.jpg,target,F,,filler,
17,1728585950942,10/10/2024 18:45:50,1728571550942,-4,10/10/2024 10:45:50,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,14,image,Screen 3,zz7hbh,1,response,3,2481.2000000059634,2465.5,2481.2000000059634,2481.2000000059634,2465.5,2481.2000000059634,1,2481.2000000059634,0,0,,Keyboard Response,Image,1,object-1907,image,1911,NegHighNonsoc_10.jpg,target,F,,filler,
18,1728585954646,10/10/2024 18:45:54,1728571554646,-4,10/10/2024 10:45:54,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,15,image,Screen 3,zz7hbh,1,response,5,3719.600000011924,3714.7000000000044,3719.600000011924,3719.600000011924,3714.7000000000044,3719.600000011924,1,3719.600000011924,0,0,,Keyboard Response,Image,1,object-1907,image,391,fff1f99a649e3d1cfa2bd2097cae35e9.jpg,target,F,,filler,
19,1728585956507,10/10/2024 18:45:56,1728571556507,-4,10/10/2024 10:45:56,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,16,image,Screen 3,zz7hbh,1,response,2,1865.7999999999956,1849.199999999997,1865.7999999999956,1865.7999999999956,1849.199999999997,1865.7999999999956,1,1865.7999999999956,0,0,,Keyboard Response,Image,1,object-1907,image,263,a3c07962576e26bf069a586249b4729d.jpg,target,J,,target,
20,1728585958179,10/10/2024 18:45:58,1728571558179,-4,10/10/2024 10:45:58,187004,3,task-tak4,repeat-3dmk#2->-repeat-ku6w#4,40546921,BLIND,11824247,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,823x832,,,0,Memory Task (Clone 3),8,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,memory_skips1,memory_skips1,17,image,Screen 3,zz7hbh,1,response,4,1688.800000005962,1682.5,1688.800000005962,1688.800000005962,1682.5,1688.800000005962,1,1688.800000005962,0,0,,Keyboard Response,Image,1,object-1907,image,360,3aa18c7989615cbf9e84d32f0039e64f.jpg,target,J,,target,
