Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
11,1728576898084,10/10/2024 16:14:58,1728558898084,-5,10/10/2024 06:14:58,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,continue,,6255.900000047684,6244,6255.900000047684,6255.900000047684,6244,6255.900000047684,1,6255.900000047684,0,0,,Click To Continue,Continue Button,7,object-69,image,1911,NegHighNonsoc_10.jpg,target,,F,,target,
12,1728576898085,10/10/2024 16:14:58,1728558898085,-5,10/10/2024 06:14:58,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,response,0,3280,6244,6257.300000143052,3280,6244,6257.300000143052,1,3280,2977.300000143052,0,,Slider,Slider,4,object-51,image,1911,NegHighNonsoc_10.jpg,target,,F,,target,
13,1728576898108,10/10/2024 16:14:58,1728558898108,-5,10/10/2024 06:14:58,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,info,,16.299999999999272,0,16.299999999999272,16.299999999999272,0,16.299999999999272,1,16.299999999999272,0,0,,Slider,Slider,4,object-78,image,1911,NegHighNonsoc_10.jpg,target,,F,,target,
14,1728576902214,10/10/2024 16:15:02,1728558902214,-5,10/10/2024 06:15:02,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,continue,,4141.499999952317,4129.299999999999,4141.499999952317,4141.499999952317,4129.299999999999,4141.499999952317,1,4141.499999952317,0,0,,Click To Continue,Continue Button,7,object-82,image,1911,NegHighNonsoc_10.jpg,target,,F,,target,
15,1728576902231,10/10/2024 16:15:02,1728558902231,-5,10/10/2024 06:15:02,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,response,10,3213.4000000000015,4129.299999999999,4145.899999999998,3213.4000000000015,4129.299999999999,4145.899999999998,1,3213.4000000000015,932.4999999999964,0,,Slider,Slider,4,object-78,image,1911,NegHighNonsoc_10.jpg,target,,F,,target,
16,1728576902308,10/10/2024 16:15:02,1728558902308,-5,10/10/2024 06:15:02,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,3,image,Screen 1,l8m57c,1,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,4,object-51,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
17,1728576905003,10/10/2024 16:15:05,1728558905003,-5,10/10/2024 06:15:05,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,3,image,Screen 1,l8m57c,1,continue,,2801.800000095369,2797.100000000002,2801.800000095369,2801.800000095369,2797.100000000002,2801.800000095369,1,2801.800000095369,0,0,,Click To Continue,Continue Button,7,object-69,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
18,1728576905005,10/10/2024 16:15:05,1728558905005,-5,10/10/2024 06:15:05,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,3,image,Screen 1,l8m57c,1,response,2,2131.100000000002,2797.100000000002,2803.4000000000015,2131.100000000002,2797.100000000002,2803.4000000000015,1,2131.100000000002,672.2999999999993,0,,Slider,Slider,4,object-51,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
19,1728576905035,10/10/2024 16:15:05,1728558905035,-5,10/10/2024 06:15:05,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,3,image,Screen 2,7vpf45,2,info,,16,0,16,16,0,16,1,16,0,0,,Slider,Slider,4,object-78,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
20,1728576909099,10/10/2024 16:15:09,1728558909099,-5,10/10/2024 06:15:09,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,3,image,Screen 2,7vpf45,2,continue,,4100.299999999999,4096.200000000001,4100.299999999999,4100.299999999999,4096.200000000001,4100.299999999999,1,4100.299999999999,0,0,,Click To Continue,Continue Button,7,object-82,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
