Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
25,1737123533064,17/01/2025 14:18:53,1737105533064,-5,17/01/2025 04:18:53,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545190,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,image,Screen 9,ev1o37,5,continue,,10659.999999999985,10643.399999999994,10659.999999999985,10659.999999999985,10643.399999999994,10659.999999999985,0,10659.999999999985,0,0,,Click To Continue,Continue Button,7,object-173,image,,,,,,,,,,,,,,,3,9
26,1737123533066,17/01/2025 14:18:53,1737105533066,-5,17/01/2025 04:18:53,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545190,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,image,Screen 9,ev1o37,5,response,6,5563.300000000003,10643.399999999994,10659.999999999985,5563.300000000003,10643.399999999994,10659.999999999985,1,5563.300000000003,5096.6999999999825,0,,Slider,Slider,4,object-170,image,,,,,,,,,,,,,,,4,10
27,1737123534052,17/01/2025 14:18:54,1737105534052,-5,17/01/2025 04:18:54,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545190,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,image,Screen 10,fpb9mf,6,info,,6.600000000180444,0,6.600000000180444,6.600000000180444,0,6.600000000180444,0,6.600000000180444,0,0,,Slider,Slider,4,object-180,image,,,,,,,,,,,,,,,4,10
28,1737123539215,17/01/2025 14:18:59,1737105539215,-5,17/01/2025 04:18:59,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545190,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,image,Screen 10,fpb9mf,6,continue,,5169.399999999994,5163.399999999994,5169.399999999994,5169.399999999994,5163.399999999994,5169.399999999994,0,5169.399999999994,0,0,,Click To Continue,Continue Button,7,object-183,image,,,,,,,,,,,,,,,4,11
29,1737123539215,17/01/2025 14:18:59,1737105539215,-5,17/01/2025 04:18:59,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545190,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,image,Screen 10,fpb9mf,6,response,,5169.799999999901,5163.399999999994,5169.799999999901,5169.799999999901,5163.399999999994,5169.799999999901,0,5169.799999999901,0,0,,Slider,Slider,4,object-180,image,,,,,,,,,,,,,,,4,12
30,1737123540210,17/01/2025 14:19:00,1737105540210,-5,17/01/2025 04:19:00,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#1,42545190,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,123959,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1737123558263,17/01/2025 14:19:18,1737105558263,-5,17/01/2025 04:19:18,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1737123560112,17/01/2025 14:19:20,1737105560112,-5,17/01/2025 04:19:20,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1781.0000000001862,1765.6000000000001,1781.0000000001862,1781.0000000001862,1765.6000000000001,1781.0000000001862,1,1781.0000000001862,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,4,12
3,1737123562559,17/01/2025 14:19:22,1737105562559,-5,17/01/2025 04:19:22,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 5,e3ks8t,2,continue,,2463.2,2448.5,2463.2,2463.2,2448.5,2463.2,1,2463.2,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,,,,,,,,4,12
4,1737123565239,17/01/2025 14:19:25,1737105565239,-5,17/01/2025 04:19:25,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,3,continue,,2694.500000000279,2681.7,2694.500000000279,2694.500000000279,2681.7,2694.500000000279,1,2694.500000000279,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,4,12
5,1737123565245,17/01/2025 14:19:25,1737105565245,-5,17/01/2025 04:19:25,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,4,12
6,1737123572671,17/01/2025 14:19:32,1737105572671,-5,17/01/2025 04:19:32,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,continue,,7445,7428.799999999999,7445,7445,7428.799999999999,7445,1,7445,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,4,12
7,1737123572674,17/01/2025 14:19:32,1737105572674,-5,17/01/2025 04:19:32,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,response,9,5913,7428.799999999999,7445.499999999998,5913,7428.799999999999,7445.499999999998,1,5913,1532.4999999999982,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,4,12
8,1737123572681,17/01/2025 14:19:32,1737105572681,-5,17/01/2025 04:19:32,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,info,,16.69999999999891,0,16.69999999999891,16.69999999999891,0,16.69999999999891,1,16.69999999999891,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,4,12
9,1737123591519,17/01/2025 14:19:51,1737105591519,-5,17/01/2025 04:19:51,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,continue,,18864.100000000373,18854.899999999998,18864.100000000373,18864.100000000373,18854.899999999998,18864.100000000373,1,18864.100000000373,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,4,12
10,1737123591521,17/01/2025 14:19:51,1737105591521,-5,17/01/2025 04:19:51,153647,19,task-7g1b,repeat-3dmk#4->-repeat-ku6w#4->-repeat-bbex#2,42545292,BLIND,12412740,,complete,,678a5ff96409f0574fc37d1d,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1920x1080,1912x1000,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,response,,18865.900000000187,18854.899999999998,18865.900000000187,18865.900000000187,18854.899999999998,18865.900000000187,1,18865.900000000187,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,4,12
