Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Store: correct
1,1737120360727,17/01/2025 13:26:00,1737102360727,-5,17/01/2025 03:26:00,153647,19,task-3bxn,repeat-3dmk#2,42543124,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Advance,3,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737120364092,17/01/2025 13:26:04,1737102364092,-5,17/01/2025 03:26:04,153647,19,task-3bxn,repeat-3dmk#2,42543124,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Advance,3,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3375.187999952316,3365.5879999999997,3375.187999952316,3375.187999952316,3365.5879999999997,3375.187999952316,1,3375.187999952316,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1737120364093,17/01/2025 13:26:04,1737102364093,-5,17/01/2025 03:26:04,153647,19,task-3bxn,repeat-3dmk#2,42543124,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Advance,3,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3356,,,,0,,,,,,,,,,,
1,1737120381539,17/01/2025 13:26:21,1737102381539,-5,17/01/2025 03:26:21,153647,19,task-3bxn,repeat-3dmk#4,42543188,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737120387571,17/01/2025 13:26:27,1737102387571,-5,17/01/2025 03:26:27,153647,19,task-3bxn,repeat-3dmk#4,42543188,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,6036.34,6027.700000000001,6036.34,6036.34,6027.700000000001,6036.34,1,6036.34,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1737120387572,17/01/2025 13:26:27,1737102387572,-5,17/01/2025 03:26:27,153647,19,task-3bxn,repeat-3dmk#4,42543188,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,6024,,,,0,,,,,,,,,,,
1,1737120515643,17/01/2025 13:28:35,1737098915643,-6,17/01/2025 01:28:35,153647,19,task-3bxn,repeat-3dmk#4,42543240,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,853x390,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737120519039,17/01/2025 13:28:39,1737098919039,-6,17/01/2025 01:28:39,153647,19,task-3bxn,repeat-3dmk#4,42543240,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,853x390,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,Advance Instructions,Screen 1,klqz88,1,continue,,3413.8619999284747,3409.2620000000006,3413.8619999284747,3413.8619999284747,3409.2620000000006,3413.8619999284747,1,3413.8619999284747,0,0,,Click To Continue,Continue Button,2,object-2,Advance Instructions,,5
3,1737120519042,17/01/2025 13:28:39,1737098919042,-6,17/01/2025 01:28:39,153647,19,task-3bxn,repeat-3dmk#4,42543240,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,853x390,,,0,Advance,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,3378,,,,0,,,,,,,,,,,
1,1737120696760,17/01/2025 13:31:36,1737102696760,-5,17/01/2025 03:31:36,153647,19,task-3bxn,repeat-3dmk#3,42543378,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Advance,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
