Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1737120176976,17/01/2025 13:22:56,1737102176976,-5,17/01/2025 03:22:56,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1737120222876,17/01/2025 13:23:42,1737102222876,-5,17/01/2025 03:23:42,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,44969.74,44958.7,44969.74,44969.74,44958.7,44969.74,1,44969.74,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1737120234820,17/01/2025 13:23:54,1737102234820,-5,17/01/2025 03:23:54,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,11956.04,11941.160000000003,11956.04,11956.04,11941.160000000003,11956.04,1,11956.04,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1737120237801,17/01/2025 13:23:57,1737102237801,-5,17/01/2025 03:23:57,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,2994.8799999999974,2993.639999999992,2994.8799999999974,2994.8799999999974,2993.639999999992,2994.8799999999974,1,2994.8799999999974,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1737120238804,17/01/2025 13:23:58,1737102238804,-5,17/01/2025 03:23:58,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1003.4600000000064,1003.4600000000064,1003.4600000000064,1003.4600000000064,1003.4600000000064,1003.4600000000064,0,1003.4600000000064,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1737120239792,17/01/2025 13:23:59,1737102239792,-5,17/01/2025 03:23:59,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,501.74000000000524,501.74000000000524,501.74000000000524,501.74000000000524,501.74000000000524,501.74000000000524,1,501.74000000000524,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1737120240795,17/01/2025 13:24:00,1737102240795,-5,17/01/2025 03:24:00,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,J,1003.4599999999919,1003.4599999999919,1003.4599999999919,1003.4599999999919,1003.4599999999919,1003.4599999999919,0,1003.4599999999919,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1737120241782,17/01/2025 13:24:01,1737102241782,-5,17/01/2025 03:24:01,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,501.72000000000116,501.72000000000116,501.72000000000116,501.72000000000116,501.72000000000116,501.72000000000116,1,501.72000000000116,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1737120242785,17/01/2025 13:24:02,1737102242785,-5,17/01/2025 03:24:02,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,J,1003.4600000000064,1003.4600000000064,1003.4600000000064,1003.4600000000064,1003.4600000000064,1003.4600000000064,0,1003.4600000000064,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1737120243772,17/01/2025 13:24:03,1737102243772,-5,17/01/2025 03:24:03,153647,19,task-wzke,repeat-3dmk#1,42543049,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,503.5799999999872,503.5799999999872,503.5799999999872,503.5799999999872,503.5799999999872,503.5799999999872,1,503.5799999999872,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
