Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Manipulation: Spreadsheet,Store: Total,Store: correct
1,1737120162110,17/01/2025 13:22:42,1737102162110,-5,17/01/2025 03:22:42,153647,19,task-icdl,,42543034,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737120164908,17/01/2025 13:22:44,1737102164908,-5,17/01/2025 03:22:44,153647,19,task-icdl,,42543034,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,9380,9364.94,9380,9380,9364.94,9380,1,9380,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1737120164908,17/01/2025 13:22:44,1737102164908,-5,17/01/2025 03:22:44,153647,19,task-icdl,,42543034,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,2790,,,,0,,,,,,,,,,,,,,,,
1,1737120305341,17/01/2025 13:25:05,1737102305341,-5,17/01/2025 03:25:05,153647,19,task-icdl,,42543080,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737120313147,17/01/2025 13:25:13,1737102313147,-5,17/01/2025 03:25:13,153647,19,task-icdl,,42543080,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,7812.759999999998,7797.619999999999,7812.759999999998,7812.759999999998,7797.619999999999,7812.759999999998,1,7812.759999999998,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1737120313148,17/01/2025 13:25:13,1737102313148,-5,17/01/2025 03:25:13,153647,19,task-icdl,,42543080,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,7789,,,,0,,,,,,,,,,,,,,,,
1,1737120293355,17/01/2025 13:24:53,1737098693355,-6,17/01/2025 01:24:53,153647,19,task-icdl,,42543081,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,713x516,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737120298736,17/01/2025 13:24:58,1737098698736,-6,17/01/2025 01:24:58,153647,19,task-icdl,,42543081,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,713x516,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,5391.933999999999,5388.933999999999,5391.933999999999,5391.933999999999,5388.933999999999,5391.933999999999,1,5391.933999999999,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1737120298738,17/01/2025 13:24:58,1737098698738,-6,17/01/2025 01:24:58,153647,19,task-icdl,,42543081,BLIND,12412378,,complete,,678a59102c59d48aff2d67f9,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,713x516,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,5361,,,,0,,,,,,,,,,,,,,,,
1,1737120283808,17/01/2025 13:24:43,1737102283808,-5,17/01/2025 03:24:43,153647,19,task-icdl,,42543082,BLIND,12412390,,complete,,678a591a71ffb8818e74aba9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 131.0.0.0,1440x900,1440x778,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
