Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1737121304128,17/01/2025 13:41:44,1737103304128,-5,17/01/2025 03:41:44,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737121319676,17/01/2025 13:41:59,1737103319676,-5,17/01/2025 03:41:59,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,15550.14,15543.779999999999,15550.14,15550.14,15543.779999999999,15550.14,1,15550.14,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737121322665,17/01/2025 13:42:02,1737103322665,-5,17/01/2025 03:42:02,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2995.3600000000006,2993.66,2995.3600000000006,2995.3600000000006,2993.66,2995.3600000000006,1,2995.3600000000006,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737121333876,17/01/2025 13:42:13,1737103333876,-5,17/01/2025 03:42:13,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,11213.7,11207.100000000002,11213.7,11213.7,11207.100000000002,11213.7,1,11213.7,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737121337010,17/01/2025 13:42:17,1737103337010,-5,17/01/2025 03:42:17,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,2137.1399999999994,2123.979999999996,2137.1399999999994,2137.1399999999994,2123.979999999996,2137.1399999999994,0,2137.1399999999994,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1737121348035,17/01/2025 13:42:28,1737103348035,-5,17/01/2025 03:42:28,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,6,10035.699999999997,10019.719999999994,10035.699999999997,10035.699999999997,10019.719999999994,10035.699999999997,0,10035.699999999997,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,3
7,1737121349024,17/01/2025 13:42:29,1737103349024,-5,17/01/2025 03:42:29,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#1,42543938,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,44868,,,,0,,,,,,,,,,,,,,,,,
1,1737121386888,17/01/2025 13:43:06,1737103386888,-5,17/01/2025 03:43:06,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#2,42543998,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737121388587,17/01/2025 13:43:08,1737103388587,-5,17/01/2025 03:43:08,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#2,42543998,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1701.6000000000004,1695.3200000000006,1701.6000000000004,1701.6000000000004,1695.3200000000006,1701.6000000000004,1,1701.6000000000004,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737121391574,17/01/2025 13:43:11,1737103391574,-5,17/01/2025 03:43:11,153647,19,task-ugmz,repeat-3dmk#4->-repeat-ku6w#2,42543998,BLIND,12412388,,complete,,678a596ef767b9becdc5a9f7,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1920x1080,1920x947,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2995.2799999999997,2993.6400000000003,2995.2799999999997,2995.2799999999997,2993.6400000000003,2995.2799999999997,1,2995.2799999999997,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
