Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
6,1737122321673,17/01/2025 13:58:41,1737104321673,-5,17/01/2025 03:58:41,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#4,42544554,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,38683.14,38673.399999999994,38683.14,38683.14,38673.399999999994,38683.14,0,38683.14,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1737122322663,17/01/2025 13:58:42,1737104322663,-5,17/01/2025 03:58:42,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#4,42544554,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,85257,,,,0,,,,,,,,,,,,,,,,,
1,1737122432541,17/01/2025 14:00:32,1737104432541,-5,17/01/2025 04:00:32,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737122441568,17/01/2025 14:00:41,1737104441568,-5,17/01/2025 04:00:41,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,9029.44,9020.800000000001,9029.44,9029.44,9020.800000000001,9029.44,1,9029.44,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737122444559,17/01/2025 14:00:44,1737104444559,-5,17/01/2025 04:00:44,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.6399999999994,2999.0999999999985,2999.6399999999994,2999.6399999999994,2999.0999999999985,2999.6399999999994,1,2999.6399999999994,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737122449943,17/01/2025 14:00:49,1737104449943,-5,17/01/2025 04:00:49,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,5385.540000000001,5381.740000000002,5385.540000000001,5385.540000000001,5381.740000000002,5385.540000000001,1,5385.540000000001,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737122464447,17/01/2025 14:01:04,1737104464447,-5,17/01/2025 04:01:04,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,13507.099999999999,13495.979999999996,13507.099999999999,13507.099999999999,13495.979999999996,13507.099999999999,1,13507.099999999999,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1737122480065,17/01/2025 14:01:20,1737104480065,-5,17/01/2025 04:01:20,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,14626.720000000001,14612.700000000004,14626.720000000001,14626.720000000001,14612.700000000004,14626.720000000001,1,14626.720000000001,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1737122481053,17/01/2025 14:01:21,1737104481053,-5,17/01/2025 04:01:21,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#5,42544696,BLIND,12412381,,complete,,678a593a88d126e45fd45ac0,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x731,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,48438,,,,0,,,,,,,,,,,,,,,,,
1,1737124956900,17/01/2025 14:42:36,1737096156900,-8,16/01/2025 22:42:36,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737124965903,17/01/2025 14:42:45,1737096165903,-8,16/01/2025 22:42:45,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,9025.993999904633,9018.594000000001,9025.993999904633,9025.993999904633,9018.594000000001,9025.993999904633,1,9025.993999904633,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737124968892,17/01/2025 14:42:48,1737096168892,-8,16/01/2025 22:42:48,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2998.5999999523156,2997.2000000000007,2998.5999999523156,2998.5999999523156,2997.2000000000007,2998.5999999523156,1,2998.5999999523156,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737124979108,17/01/2025 14:42:59,1737096179108,-8,16/01/2025 22:42:59,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,10214.899999952315,10206.8,10214.899999952315,10214.899999952315,10206.8,10214.899999952315,1,10214.899999952315,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737124992213,17/01/2025 14:43:12,1737096192213,-8,16/01/2025 22:43:12,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,12114.300000095369,12105.099999999999,12114.300000095369,12114.300000095369,12105.099999999999,12114.300000095369,1,12114.300000095369,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1737125012050,17/01/2025 14:43:32,1737096212050,-8,16/01/2025 22:43:32,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,18848.399999999994,18831.799999999996,18848.399999999994,18848.399999999994,18831.799999999996,18848.399999999994,0,18848.399999999994,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1737125012050,17/01/2025 14:43:32,1737096212050,-8,16/01/2025 22:43:32,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,18848.399999999994,18831.799999999996,18848.399999999994,18848.399999999994,18831.799999999996,18848.399999999994,0,18848.399999999994,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
8,1737125013035,17/01/2025 14:43:33,1737096213035,-8,16/01/2025 22:43:33,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#1,42546342,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,55997,,,,0,,,,,,,,,,,,,,,,,
1,1737125188380,17/01/2025 14:46:28,1737096388380,-8,16/01/2025 22:46:28,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737125196742,17/01/2025 14:46:36,1737096396742,-8,16/01/2025 22:46:36,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,8396.171999976159,8382.072,8396.171999976159,8396.171999976159,8382.072,8396.171999976159,1,8396.171999976159,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737125199726,17/01/2025 14:46:39,1737096399726,-8,16/01/2025 22:46:39,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,2999.999999952317,2999.2000000000007,2999.999999952317,2999.999999952317,2999.2000000000007,2999.999999952317,1,2999.999999952317,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737125200745,17/01/2025 14:46:40,1737096400745,-8,16/01/2025 22:46:40,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,6,1016.1999999999971,999.7999999999993,1016.1999999999971,1016.1999999999971,999.7999999999993,1016.1999999999971,0,1016.1999999999971,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1737125207360,17/01/2025 14:46:47,1737096407360,-8,16/01/2025 22:46:47,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,4,5634.900000047684,5632.5,5634.900000047684,5634.900000047684,5632.5,5634.900000047684,0,5634.900000047684,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,2
6,1737125265130,17/01/2025 14:47:45,1737096465130,-8,16/01/2025 22:47:45,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,6,56771.29999997616,56759.1,56771.29999997616,56771.29999997616,56759.1,56771.29999997616,0,56771.29999997616,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,3
7,1737125266121,17/01/2025 14:47:46,1737096466121,-8,16/01/2025 22:47:46,153647,19,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,42546545,BLIND,12412886,,complete,,678a6257688e40fc940ad772,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1280x720,500x593,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,77490,,,,0,,,,,,,,,,,,,,,,,
1,1737125272224,17/01/2025 14:47:52,1737096472224,-8,16/01/2025 22:47:52,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#2,42546627,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737125278709,17/01/2025 14:47:58,1737096478709,-8,16/01/2025 22:47:58,153647,19,task-xcgh,repeat-3dmk#4->-repeat-tj2w#2,42546627,BLIND,12412971,,complete,,678a64868c561b1fec989696,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x991,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,6521.311999999999,6504.612,6521.311999999999,6521.311999999999,6504.612,6521.311999999999,1,6521.311999999999,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
