Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
5,1736519325233,10/01/2025 14:28:45,1736497725233,-6,10/01/2025 02:28:45,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#3,42388389,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,594,583.1000000000004,594,594,583.1000000000004,594,1,594,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736519325913,10/01/2025 14:28:45,1736497725913,-6,10/01/2025 02:28:45,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#3,42388389,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,690.8999999999996,683.1999999999989,690.8999999999996,690.8999999999996,683.1999999999989,690.8999999999996,1,690.8999999999996,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736519325919,10/01/2025 14:28:45,1736497725919,-6,10/01/2025 02:28:45,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#3,42388389,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,5453,,,,0,,,,,,,,,,,,,,,,
1,1736519399121,10/01/2025 14:29:59,1736497799121,-6,10/01/2025 02:29:59,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736519402836,10/01/2025 14:30:02,1736497802836,-6,10/01/2025 02:30:02,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,3672.399999976158,3666.3999999999996,3672.399999976158,3672.399999976158,3666.3999999999996,3672.399999976158,1,3672.399999976158,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1736519442179,10/01/2025 14:30:42,1736497842179,-6,10/01/2025 02:30:42,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,39349.99999997616,39345,39349.99999997616,39349.99999997616,39345,39349.99999997616,1,39349.99999997616,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1736519475930,10/01/2025 14:31:15,1736497875930,-6,10/01/2025 02:31:15,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,33755.6,33745.4,33755.6,33755.6,33745.4,33755.6,1,33755.6,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1736519493749,10/01/2025 14:31:33,1736497893749,-6,10/01/2025 02:31:33,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,17829.599999976155,17814.399999999994,17829.599999976155,17829.599999976155,17814.399999999994,17829.599999976155,1,17829.599999976155,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736519516622,10/01/2025 14:31:56,1736497916622,-6,10/01/2025 02:31:56,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,22888.69999997616,22880.5,22888.69999997616,22888.69999997616,22880.5,22888.69999997616,1,22888.69999997616,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736519516626,10/01/2025 14:31:56,1736497916626,-6,10/01/2025 02:31:56,153647,18,task-x1rt,repeat-3dmk#3->-repeat-ku6w#4,42388431,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,117466,,,,0,,,,,,,,,,,,,,,,
