Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1736519879781,10/01/2025 14:37:59,1736498279781,-6,10/01/2025 02:37:59,153647,18,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3->-repeat-bbex#1,42388791,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1736519884817,10/01/2025 14:38:04,1736498284817,-6,10/01/2025 02:38:04,153647,18,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3->-repeat-bbex#1,42388791,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,END,5025,,,,
1,1736520801305,10/01/2025 14:53:21,1736502801305,-5,10/01/2025 04:53:21,153647,18,questionnaire-vj9b,repeat-3dmk#5->-repeat-tj2w#4->-repeat-bh4w#2,42389351,BLIND,12371861,,complete,,6781280410f2e5f8a90f8a07,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1300x730,1300x596,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736520814625,10/01/2025 14:53:34,1736502814625,-5,10/01/2025 04:53:34,153647,18,questionnaire-vj9b,repeat-3dmk#5->-repeat-tj2w#4->-repeat-bh4w#2,42389351,BLIND,12371861,,complete,,6781280410f2e5f8a90f8a07,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 131.0.0.0,1300x730,1300x596,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,END,13298,,,,
1,1736521336609,10/01/2025 15:02:16,1736503336609,-5,10/01/2025 05:02:16,153647,18,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#1,42389503,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1396x663,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1736521374266,10/01/2025 15:02:54,1736503374266,-5,10/01/2025 05:02:54,153647,18,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#1,42389503,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1396x663,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,END,37645,,,,
1,1736521159034,10/01/2025 14:59:19,1736503159034,-5,10/01/2025 04:59:19,153647,18,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#5->-repeat-bh4w#3,42389510,BLIND,12371879,,complete,,6781280ac4e5de97d59a845d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1280x800,1280x712,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736521170278,10/01/2025 14:59:30,1736503170278,-5,10/01/2025 04:59:30,153647,18,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#5->-repeat-bh4w#3,42389510,BLIND,12371879,,complete,,6781280ac4e5de97d59a845d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1280x800,1280x712,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,11220,,,,
1,1736521526169,10/01/2025 15:05:26,1736499926169,-6,10/01/2025 03:05:26,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#4->-repeat-bbex#2,42389661,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1736521532746,10/01/2025 15:05:32,1736499932746,-6,10/01/2025 03:05:32,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#4->-repeat-bbex#2,42389661,BLIND,12371858,,complete,,6781280b7039949793de297e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,,info,,END,6558,,,,
1,1736521580033,10/01/2025 15:06:20,1736499980033,-6,10/01/2025 03:06:20,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-tj2w#2->-repeat-bh4w#3,42389682,BLIND,12371940,,complete,,6781280a772f83bc0904fe7e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736521589131,10/01/2025 15:06:29,1736499989131,-6,10/01/2025 03:06:29,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-tj2w#2->-repeat-bh4w#3,42389682,BLIND,12371940,,complete,,6781280a772f83bc0904fe7e,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,9078,,,,
1,1736521617947,10/01/2025 15:06:57,1736492817947,-8,09/01/2025 23:06:57,153647,18,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#5,42389694,BLIND,12371916,,complete,,6781280748708cd024ca77da,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x919,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736521668345,10/01/2025 15:07:48,1736492868345,-8,09/01/2025 23:07:48,153647,18,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3->-repeat-bh4w#5,42389694,BLIND,12371916,,complete,,6781280748708cd024ca77da,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x919,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,50366,,,,
1,1736521967457,10/01/2025 15:12:47,1736503967457,-5,10/01/2025 05:12:47,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-tj2w#4->-repeat-bh4w#5,42389827,BLIND,12371855,,complete,,678128057cb5864bece881ef,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1093x513,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1736521997283,10/01/2025 15:13:17,1736503997283,-5,10/01/2025 05:13:17,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-tj2w#4->-repeat-bh4w#5,42389827,BLIND,12371855,,complete,,678128057cb5864bece881ef,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1093x513,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,29789,,,,
1,1736522182344,10/01/2025 15:16:22,1736504182344,-5,10/01/2025 05:16:22,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#3->-repeat-bbex#1,42389951,BLIND,12371944,,complete,,67812a0cf970264a514db9de,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x750,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1736522189078,10/01/2025 15:16:29,1736504189078,-5,10/01/2025 05:16:29,153647,18,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#3->-repeat-bbex#1,42389951,BLIND,12371944,,complete,,67812a0cf970264a514db9de,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x750,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,END,6720,,,,
