Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1736517878502,10/01/2025 14:04:38,1736496278502,-6,10/01/2025 02:04:38,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1736517937683,10/01/2025 14:05:37,1736496337683,-6,10/01/2025 02:05:37,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,58941.6,58933.28,58941.6,58941.6,58933.28,58941.6,1,58941.6,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1736517942169,10/01/2025 14:05:42,1736496342169,-6,10/01/2025 02:05:42,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,4494.419999999998,4489.740000000005,4494.419999999998,4494.419999999998,4489.740000000005,4494.419999999998,1,4494.419999999998,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1736517945165,10/01/2025 14:05:45,1736496345165,-6,10/01/2025 02:05:45,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3000.679999999993,2999.0599999999977,3000.679999999993,3000.679999999993,2999.0599999999977,3000.679999999993,1,3000.679999999993,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1736517946166,10/01/2025 14:05:46,1736496346166,-6,10/01/2025 02:05:46,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1001.0999999999913,1001.0999999999913,1001.0999999999913,1001.0999999999913,1001.0999999999913,1001.0999999999913,0,1001.0999999999913,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1736517947156,10/01/2025 14:05:47,1736496347156,-6,10/01/2025 02:05:47,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,499.6000000000058,499.6000000000058,499.6000000000058,499.6000000000058,499.6000000000058,499.6000000000058,1,499.6000000000058,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1736517948156,10/01/2025 14:05:48,1736496348156,-6,10/01/2025 02:05:48,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,J,999.179999999993,999.179999999993,999.179999999993,999.179999999993,999.179999999993,999.179999999993,0,999.179999999993,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1736517949148,10/01/2025 14:05:49,1736496349148,-6,10/01/2025 02:05:49,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,499.59999999999127,499.59999999999127,499.59999999999127,499.59999999999127,499.59999999999127,499.59999999999127,1,499.59999999999127,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1736517950148,10/01/2025 14:05:50,1736496350148,-6,10/01/2025 02:05:50,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,J,1000.9600000000064,1000.9600000000064,1000.9600000000064,1000.9600000000064,1000.9600000000064,1000.9600000000064,0,1000.9600000000064,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1736517951139,10/01/2025 14:05:51,1736496351139,-6,10/01/2025 02:05:51,153647,18,task-wzke,repeat-3dmk#1,42386771,BLIND,12371860,,complete,,67812805083317810c101abb,computer,Desktop or Laptop,Windows 10,Firefox 134.0,1536x864,1536x722,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,499.58000000000175,499.58000000000175,499.58000000000175,499.58000000000175,499.58000000000175,499.58000000000175,1,499.58000000000175,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
