Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
3,1738315462395,31/01/2025 09:24:22,1738293862395,-6,30/01/2025 21:24:22,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,2004.2999999880794,2000.7000000000007,2004.2999999880794,2004.2999999880794,2000.7000000000007,2004.2999999880794,1,2004.2999999880794,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1738315465392,31/01/2025 09:24:25,1738293865392,-6,30/01/2025 21:24:25,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3001.299999976158,3000.8999999999996,3001.299999976158,3001.299999976158,3000.8999999999996,3001.299999976158,1,3001.299999976158,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1738315465695,31/01/2025 09:24:25,1738293865695,-6,30/01/2025 21:24:25,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,F,302.39999997615814,300.10000000000036,302.39999997615814,302.39999997615814,300.10000000000036,302.39999997615814,1,302.39999997615814,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1738315466693,31/01/2025 09:24:26,1738293866693,-6,30/01/2025 21:24:26,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500.2000000000007,500.2000000000007,500.2000000000007,500.2000000000007,500.2000000000007,500.2000000000007,1,500.2000000000007,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1738315467030,31/01/2025 09:24:27,1738293867030,-6,30/01/2025 21:24:27,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,337,333.2999999999993,337,337,333.2999999999993,337,1,337,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1738315468027,31/01/2025 09:24:28,1738293868027,-6,30/01/2025 21:24:28,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500.2000000000007,500.2000000000007,500.2000000000007,500.2000000000007,500.2000000000007,500.2000000000007,1,500.2000000000007,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1738315468559,31/01/2025 09:24:28,1738293868559,-6,30/01/2025 21:24:28,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,F,532.3999999940388,516.7999999999993,532.3999999940388,532.3999999940388,516.7999999999993,532.3999999940388,1,532.3999999940388,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1738315469544,31/01/2025 09:24:29,1738293869544,-6,30/01/2025 21:24:29,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,1,500.09999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
11,1738315470544,31/01/2025 09:24:30,1738293870544,-6,30/01/2025 21:24:30,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,4,image,Trials,mxeghn,1,response,J,1000.2999999999993,1000.2999999999993,1000.2999999999993,1000.2999999999993,1000.2999999999993,1000.2999999999993,1,1000.2999999999993,0,0,,Time Limit,screen,0,screen,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
12,1738315471528,31/01/2025 09:24:31,1738293871528,-6,30/01/2025 21:24:31,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,4,image,Screen 2,2al84i,2,continue,,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,500.1000000000022,1,500.1000000000022,0,0,,Fixation Timing,Fixation,1,object-24,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
13,1738315471643,31/01/2025 09:24:31,1738293871643,-6,30/01/2025 21:24:31,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,5,image,Trials,mxeghn,1,response,F,115.09999998211788,100,115.09999998211788,115.09999998211788,100,115.09999998211788,1,115.09999998211788,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
14,1738315472628,31/01/2025 09:24:32,1738293872628,-6,30/01/2025 21:24:32,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,5,image,Screen 2,2al84i,2,continue,,500.1999999999971,500.1999999999971,500.1999999999971,500.1999999999971,500.1999999999971,500.1999999999971,1,500.1999999999971,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
15,1738315472630,31/01/2025 09:24:32,1738293872630,-6,30/01/2025 21:24:32,153647,21,task-wzke,repeat-3dmk#2,42926220,BLIND,12511508,,complete,,679c833611ede9385038e7d6,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2134x1200,2134x1031,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,2,,Accurate,,Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,14920,,,,0,,,,,,,,,,,,,,,
1,1738317299128,31/01/2025 09:54:59,1738295699128,-6,30/01/2025 21:54:59,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1738317301431,31/01/2025 09:55:01,1738295701431,-6,30/01/2025 21:55:01,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,1612.7000000000007,1600.4000000000015,1612.7000000000007,1612.7000000000007,1600.4000000000015,1612.7000000000007,1,1612.7000000000007,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1738317302380,31/01/2025 09:55:02,1738295702380,-6,30/01/2025 21:55:02,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,960.90000000894,950.0999999999985,960.90000000894,960.90000000894,950.0999999999985,960.90000000894,1,960.90000000894,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1738317305372,31/01/2025 09:55:05,1738295705372,-6,30/01/2025 21:55:05,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3003.100000005961,3000.600000000002,3003.100000005961,3003.100000005961,3000.600000000002,3003.100000005961,1,3003.100000005961,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1738317305943,31/01/2025 09:55:05,1738295705943,-6,30/01/2025 21:55:05,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,F,571.500000005959,566.7999999999993,571.500000005959,571.500000005959,566.7999999999993,571.500000005959,1,571.500000005959,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1738317306938,31/01/2025 09:55:06,1738295706938,-6,30/01/2025 21:55:06,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,1,500.09999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1738317307203,31/01/2025 09:55:07,1738295707203,-6,30/01/2025 21:55:07,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,265.9999999970205,250.20000000000073,265.9999999970205,265.9999999970205,250.20000000000073,265.9999999970205,1,265.9999999970205,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1738317308187,31/01/2025 09:55:08,1738295708187,-6,30/01/2025 21:55:08,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,1,500.09999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1738317308515,31/01/2025 09:55:08,1738295708515,-6,30/01/2025 21:55:08,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,F,327.6999999970212,316.7000000000007,327.6999999970212,327.6999999970212,316.7000000000007,327.6999999970212,1,327.6999999970212,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1738317309504,31/01/2025 09:55:09,1738295709504,-6,30/01/2025 21:55:09,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
11,1738317310506,31/01/2025 09:55:10,1738295710506,-6,30/01/2025 21:55:10,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,4,image,Trials,mxeghn,1,response,J,1000.0999999999985,1000.0999999999985,1000.0999999999985,1000.0999999999985,1000.0999999999985,1000.0999999999985,1,1000.0999999999985,0,0,,Time Limit,screen,0,screen,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
12,1738317311489,31/01/2025 09:55:11,1738295711489,-6,30/01/2025 21:55:11,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,4,image,Screen 2,2al84i,2,continue,,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,1,500.09999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,J,instr_photo_3.jpg,#DC143C,,1000ms,
13,1738317311943,31/01/2025 09:55:11,1738295711943,-6,30/01/2025 21:55:11,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,5,image,Trials,mxeghn,1,response,F,450.09999999999854,433.5,450.09999999999854,450.09999999999854,433.5,450.09999999999854,1,450.09999999999854,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
14,1738317312921,31/01/2025 09:55:12,1738295712921,-6,30/01/2025 21:55:12,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,5,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
15,1738317312922,31/01/2025 09:55:12,1738295712922,-6,30/01/2025 21:55:12,153647,21,task-wzke,repeat-3dmk#1,42927005,BLIND,12511675,,complete,,679c9b6898d39361abfca733,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Sustained Attention Practice (Clone),4,Accurate,1,Accurate,,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,13739,,,,0,,,,,,,,,,,,,,,
1,1738317415815,31/01/2025 09:56:55,1738288615815,-8,30/01/2025 17:56:55,153647,21,task-wzke,repeat-3dmk#1,42927051,BLIND,12511705,,complete,,679c9c68770016f434fcdb10,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2049x925,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1738317450132,31/01/2025 09:57:30,1738288650132,-8,30/01/2025 17:57:30,153647,21,task-wzke,repeat-3dmk#1,42927051,BLIND,12511705,,complete,,679c9c68770016f434fcdb10,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2049x925,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,33001.09999999999,32984.399999999994,33001.09999999999,33001.09999999999,32984.399999999994,33001.09999999999,1,33001.09999999999,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1738317466541,31/01/2025 09:57:46,1738288666541,-8,30/01/2025 17:57:46,153647,21,task-wzke,repeat-3dmk#1,42927051,BLIND,12511705,,complete,,679c9c68770016f434fcdb10,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,2049x925,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,16424.800000005962,16417.299999999996,16424.800000005962,16424.800000005962,16417.299999999996,16424.800000005962,1,16424.800000005962,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
