Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1738300900383,31/01/2025 05:21:40,1738282900383,-5,30/01/2025 19:21:40,153647,21,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2->-repeat-bbex#2,42922980,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1738300911170,31/01/2025 05:21:51,1738282911170,-5,30/01/2025 19:21:51,153647,21,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2->-repeat-bbex#2,42922980,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,,,,,info,,END,10765,,,,
1,1738300997014,31/01/2025 05:23:17,1738279397014,-6,30/01/2025 17:23:17,153647,21,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#3->-repeat-bh4w#4,42922994,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1738300999789,31/01/2025 05:23:19,1738279399789,-6,30/01/2025 17:23:19,153647,21,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#3->-repeat-bh4w#4,42922994,BLIND,12510918,,complete,,679c55aedb42a33c1c212b10,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x919,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,info,,END,2764,,,,
1,1738301284823,31/01/2025 05:28:04,1738272484823,-8,30/01/2025 13:28:04,153647,21,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3->-repeat-bbex#1,42923029,BLIND,12510925,,complete,,679c55a5870e04cb94567d6a,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x1080,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1738301301319,31/01/2025 05:28:21,1738272501319,-8,30/01/2025 13:28:21,153647,21,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3->-repeat-bbex#1,42923029,BLIND,12510925,,complete,,679c55a5870e04cb94567d6a,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1920x1080,1920x1080,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,END,16481,,,,
1,1738302023053,31/01/2025 05:40:23,1738280423053,-6,30/01/2025 17:40:23,153647,21,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1->-repeat-bbex#2,42923109,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1738302042094,31/01/2025 05:40:42,1738280442094,-6,30/01/2025 17:40:42,153647,21,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1->-repeat-bbex#2,42923109,BLIND,12510915,,complete,,679c55b05b38d9ea7ac4e814,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 132.0.0.0,1366x768,1366x633,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Inaccurate~Accurate,,,,,,info,,END,19010,,,,
1,1738302189109,31/01/2025 05:43:09,1738284189109,-5,30/01/2025 19:43:09,153647,21,questionnaire-vj9b,repeat-3dmk#5->-repeat-ku6w#3->-repeat-bbex#4,42923129,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1738302199315,31/01/2025 05:43:19,1738284199315,-5,30/01/2025 19:43:19,153647,21,questionnaire-vj9b,repeat-3dmk#5->-repeat-ku6w#3->-repeat-bbex#4,42923129,BLIND,12510914,,complete,,679c55a96b9e1dabfe0a2f8d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x569,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,END,10191,,,,
