Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1738299759099,31/01/2025 05:02:39,1738281759099,-5,30/01/2025 19:02:39,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1738299761826,31/01/2025 05:02:41,1738281761826,-5,30/01/2025 19:02:41,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2158.0999999999995,2149.8999999999996,2158.0999999999995,2158.0999999999995,2149.8999999999996,2158.0999999999995,1,2158.0999999999995,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1738299767465,31/01/2025 05:02:47,1738281767465,-5,30/01/2025 19:02:47,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,5647.899999952317,5641.700000000001,5647.899999952317,5647.899999952317,5641.700000000001,5647.899999952317,1,5647.899999952317,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1738299770348,31/01/2025 05:02:50,1738281770348,-5,30/01/2025 19:02:50,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,2889.3999999999996,2883.2999999999993,2889.3999999999996,2889.3999999999996,2883.2999999999993,2889.3999999999996,1,2889.3999999999996,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1738299778966,31/01/2025 05:02:58,1738281778966,-5,30/01/2025 19:02:58,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,8624.199999904633,8616.800000000001,8624.199999904633,8624.199999904633,8616.800000000001,8624.199999904633,1,8624.199999904633,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1738299780438,31/01/2025 05:03:00,1738281780438,-5,30/01/2025 19:03:00,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,1479.3999999046318,1474.8999999999978,1479.3999999046318,1479.3999999046318,1474.8999999999978,1479.3999999046318,1,1479.3999999046318,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1738299780443,31/01/2025 05:03:00,1738281780443,-5,30/01/2025 19:03:00,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#1,42922818,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,21268,,,,0,,,,,,,,,,,,,,,,
1,1738299825473,31/01/2025 05:03:45,1738281825473,-5,30/01/2025 19:03:45,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,42922823,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1738299827246,31/01/2025 05:03:47,1738281827246,-5,30/01/2025 19:03:47,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,42922823,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1694.4,1691.2000000000003,1694.4,1694.4,1691.2000000000003,1694.4,1,1694.4,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1738299830013,31/01/2025 05:03:50,1738281830013,-5,30/01/2025 19:03:50,153647,21,task-x1rt,repeat-3dmk#3->-repeat-ku6w#2,42922823,BLIND,12510917,,complete,,679c55af2fceb3624daf60c1,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x712,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,2770.2999999046324,2766.8,2770.2999999046324,2770.2999999046324,2766.8,2770.2999999046324,1,2770.2999999046324,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
