Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
1,1725986065387,10/09/2024 16:34:25,1725968065387,-5,10/09/2024 06:34:25,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725986072448,10/09/2024 16:34:32,1725968072448,-5,10/09/2024 06:34:32,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,7067.39999999404,7052.599999999999,7067.39999999404,7067.39999999404,7052.599999999999,7067.39999999404,1,7067.39999999404,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725986075438,10/09/2024 16:34:35,1725968075438,-5,10/09/2024 06:34:35,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3012.9999999970205,3001.2000000000007,3012.9999999970205,3012.9999999970205,3001.2000000000007,3012.9999999970205,1,3012.9999999970205,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1725986094905,10/09/2024 16:34:54,1725968094905,-5,10/09/2024 06:34:54,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,19473.800000000003,19457.4,19473.800000000003,19473.800000000003,19457.4,19473.800000000003,1,19473.800000000003,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1725986099411,10/09/2024 16:34:59,1725968099411,-5,10/09/2024 06:34:59,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,1,3525.800000002979,3517.7999999999956,3525.800000002979,3525.800000002979,3517.7999999999956,3525.800000002979,0,3525.800000002979,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1725986112765,10/09/2024 16:35:12,1725968112765,-5,10/09/2024 06:35:12,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,12361.500000002983,12354.600000000006,12361.500000002983,12361.500000002983,12354.600000000006,12361.500000002983,1,12361.500000002983,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1725986113760,10/09/2024 16:35:13,1725968113760,-5,10/09/2024 06:35:13,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,39982857,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1725986138339,10/09/2024 16:35:38,1725968138339,-5,10/09/2024 06:35:38,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,39982884,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1725986140848,10/09/2024 16:35:40,1725968140848,-5,10/09/2024 06:35:40,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,39982884,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,2514.09999999702,2500.8,2514.09999999702,2514.09999999702,2500.8,2514.09999999702,1,2514.09999999702,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1725986143839,10/09/2024 16:35:43,1725968143839,-5,10/09/2024 06:35:43,187004,3,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,39982884,BLIND,11682066,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x864,1488x740,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3004.4000000059605,3001.3,3004.4000000059605,3004.4000000059605,3001.3,3004.4000000059605,1,3004.4000000059605,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
