Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Manipulation: Spreadsheet,Store: Total,Store: correct
3,1725909434093,09/09/2024 19:17:14,1725884234093,-7,09/09/2024 05:17:14,187004,3,task-icdl,,39967268,BLIND,11682102,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 124.0.0.0,1280x1024,1280x897,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725910617603,09/09/2024 19:36:57,1725896217603,-4,09/09/2024 11:36:57,187004,3,task-icdl,,39967551,BLIND,11682176,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1680x1050,1692x912,,,0,Sustained Attention Task Instructions,14,Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725910618930,09/09/2024 19:36:58,1725896218930,-4,09/09/2024 11:36:58,187004,3,task-icdl,,39967551,BLIND,11682176,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1680x1050,1692x912,,,0,Sustained Attention Task Instructions,14,Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,1341.6,1333,1341.6,1341.6,1333,1341.6,1,1341.6,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1725910618931,09/09/2024 19:36:58,1725896218931,-4,09/09/2024 11:36:58,187004,3,task-icdl,,39967551,BLIND,11682176,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1680x1050,1692x912,,,0,Sustained Attention Task Instructions,14,Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725909044252,09/09/2024 19:10:44,1725894644252,-4,09/09/2024 11:10:44,187004,3,task-icdl,,39967158,BLIND,11682067,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725909045347,09/09/2024 19:10:45,1725894645347,-4,09/09/2024 11:10:45,187004,3,task-icdl,,39967158,BLIND,11682067,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,1105.3999999284742,1099.7999999999997,1105.3999999284742,1105.3999999284742,1099.7999999999997,1105.3999999284742,1,1105.3999999284742,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1725909045348,09/09/2024 19:10:45,1725894645348,-4,09/09/2024 11:10:45,187004,3,task-icdl,,39967158,BLIND,11682067,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x703,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1725908853869,09/09/2024 19:07:33,1725894453869,-4,09/09/2024 11:07:33,187004,3,task-icdl,,39967071,BLIND,11682072,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1407x733,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1725908855208,09/09/2024 19:07:35,1725894455208,-4,09/09/2024 11:07:35,187004,3,task-icdl,,39967071,BLIND,11682072,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1407x733,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,1354.5999999940395,1349,1354.5999999940395,1354.5999999940395,1349,1354.5999999940395,1,1354.5999999940395,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1725908855210,09/09/2024 19:07:35,1725894455210,-4,09/09/2024 11:07:35,187004,3,task-icdl,,39967071,BLIND,11682072,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1407x733,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,1,Inaccurate~Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
