Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
2,1728924692563,14/10/2024 16:51:32,1728910292563,-4,14/10/2024 08:51:32,187004,3,task-efz1,,40629952,BLIND,11852258,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1368x912,1368x757,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,38125.8,38109.4,38125.8,38125.8,38109.4,38125.8,1,38125.8,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924692570,14/10/2024 16:51:32,1728910292570,-4,14/10/2024 08:51:32,187004,3,task-efz1,,40629952,BLIND,11852258,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1368x912,1368x757,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924663953,14/10/2024 16:51:03,1728906663953,-5,14/10/2024 06:51:03,187004,3,task-efz1,,40629959,BLIND,11852262,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728925699191,14/10/2024 17:08:19,1728907699191,-5,14/10/2024 07:08:19,187004,3,task-efz1,,40629959,BLIND,11852262,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,1038152.2000000477,1038141,1038152.2000000477,1038152.2000000477,1038141,1038152.2000000477,1,1038152.2000000477,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728925699200,14/10/2024 17:08:19,1728907699200,-5,14/10/2024 07:08:19,187004,3,task-efz1,,40629959,BLIND,11852262,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x945,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924702230,14/10/2024 16:51:42,1728906702230,-5,14/10/2024 06:51:42,187004,3,task-efz1,,40629998,BLIND,11852267,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1680x1050,1680x882,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924783569,14/10/2024 16:53:03,1728906783569,-5,14/10/2024 06:53:03,187004,3,task-efz1,,40629998,BLIND,11852267,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1680x1050,1680x882,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,85765.90000000596,85752.5,85765.90000000596,85765.90000000596,85752.5,85765.90000000596,1,85765.90000000596,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924783572,14/10/2024 16:53:03,1728906783572,-5,14/10/2024 06:53:03,187004,3,task-efz1,,40629998,BLIND,11852267,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1680x1050,1680x882,,,0,Study Welcome,13,Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924682943,14/10/2024 16:51:22,1728910282943,-4,14/10/2024 08:51:22,187004,3,task-efz1,,40630001,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924853734,14/10/2024 16:54:13,1728910453734,-4,14/10/2024 08:54:13,187004,3,task-efz1,,40630001,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,170837.2699999985,170824.57,170837.2699999985,170837.2699999985,170824.57,170837.2699999985,1,170837.2699999985,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924853744,14/10/2024 16:54:13,1728910453744,-4,14/10/2024 08:54:13,187004,3,task-efz1,,40630001,BLIND,11852269,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x633,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924736816,14/10/2024 16:52:16,1728899536816,-7,14/10/2024 02:52:16,187004,3,task-efz1,,40630023,BLIND,11852271,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1280x1024,1280x923,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924758841,14/10/2024 16:52:38,1728899558841,-7,14/10/2024 02:52:38,187004,3,task-efz1,,40630023,BLIND,11852271,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1280x1024,1280x923,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,34654.299999952316,34646.005,34654.299999952316,34654.299999952316,34646.005,34654.299999952316,1,34654.299999952316,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924758863,14/10/2024 16:52:38,1728899558863,-7,14/10/2024 02:52:38,187004,3,task-efz1,,40630023,BLIND,11852271,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1280x1024,1280x923,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924683718,14/10/2024 16:51:23,1728910283718,-4,14/10/2024 08:51:23,187004,3,task-efz1,,40630026,BLIND,11852272,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x728,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924711564,14/10/2024 16:51:51,1728910311564,-4,14/10/2024 08:51:51,187004,3,task-efz1,,40630026,BLIND,11852272,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x728,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,27874.132000095367,27869.132,27874.132000095367,27874.132000095367,27869.132,27874.132000095367,1,27874.132000095367,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924711569,14/10/2024 16:51:51,1728910311569,-4,14/10/2024 08:51:51,187004,3,task-efz1,,40630026,BLIND,11852272,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x728,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728924813883,14/10/2024 16:53:33,1728899613883,-7,14/10/2024 02:53:33,187004,3,task-efz1,,40630083,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1928x957,1920x951,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728924826299,14/10/2024 16:53:46,1728899626299,-7,14/10/2024 02:53:46,187004,3,task-efz1,,40630083,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1928x957,1920x951,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,12429.39,12415.39,12429.39,12429.39,12415.39,12429.39,1,12429.39,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728924826302,14/10/2024 16:53:46,1728899626302,-7,14/10/2024 02:53:46,187004,3,task-efz1,,40630083,BLIND,11852276,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1928x957,1920x951,,,0,Study Welcome,13,Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728925134409,14/10/2024 16:58:54,1728925134409,0,14/10/2024 16:58:54,187004,3,task-efz1,,40630244,BLIND,11852314,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,681x640,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728925151099,14/10/2024 16:59:11,1728925151099,0,14/10/2024 16:59:11,187004,3,task-efz1,,40630244,BLIND,11852314,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,681x640,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
