Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Manipulation: Spreadsheet,Store: Total,Store: correct
1,1727283939845,25/09/2024 17:05:39,1727265939845,-5,25/09/2024 07:05:39,187004,3,task-icdl,,40267582,BLIND,11758428,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1504x1003,1504x834,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1727283946353,25/09/2024 17:05:46,1727265946353,-5,25/09/2024 07:05:46,187004,3,task-icdl,,40267582,BLIND,11758428,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1504x1003,1504x834,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,6518.999999904632,6516.6,6518.999999904632,6518.999999904632,6516.6,6518.999999904632,1,6518.999999904632,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1727283946354,25/09/2024 17:05:46,1727265946354,-5,25/09/2024 07:05:46,187004,3,task-icdl,,40267582,BLIND,11758428,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1504x1003,1504x834,,,0,Sustained Attention Task Instructions,14,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1727283937897,25/09/2024 17:05:37,1727265937897,-5,25/09/2024 07:05:37,187004,3,task-icdl,,40267584,BLIND,11758422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x730,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1727284037721,25/09/2024 17:07:17,1727266037721,-5,25/09/2024 07:07:17,187004,3,task-icdl,,40267584,BLIND,11758422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x730,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,99846.03600014305,99833.136,99846.03600014305,99846.03600014305,99833.136,99846.03600014305,1,99846.03600014305,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1727284037724,25/09/2024 17:07:17,1727266037724,-5,25/09/2024 07:07:17,187004,3,task-icdl,,40267584,BLIND,11758422,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x730,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,2,,Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1727283945431,25/09/2024 17:05:45,1727269545431,-4,25/09/2024 09:05:45,187004,3,task-icdl,,40267590,BLIND,11758444,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1912x962,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1727283948091,25/09/2024 17:05:48,1727269548091,-4,25/09/2024 09:05:48,187004,3,task-icdl,,40267590,BLIND,11758444,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1912x962,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Accurate,,Sustained Attention Trials,Sustained Attention Trials,1,instructions,Intro,3syeo3,1,continue,,2669.6,2666.7999999999997,2669.6,2669.6,2666.7999999999997,2669.6,1,2669.6,0,0,,Click To Continue,Continue Button,2,object-56,instructions,,,,,,,
3,1727283948092,25/09/2024 17:05:48,1727269548092,-4,25/09/2024 09:05:48,187004,3,task-icdl,,40267590,BLIND,11758444,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1920x1080,1912x962,,,0,Sustained Attention Task Instructions,14,Inaccurate~Inaccurate~Accurate,1,Accurate,,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1727283949256,25/09/2024 17:05:49,1727269549256,-4,25/09/2024 09:05:49,187004,3,task-icdl,,40267593,BLIND,11758436,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x695,,,0,Sustained Attention Task Instructions,14,Accurate,2,,Inaccurate~Accurate,Sustained Attention Trials,Sustained Attention Trials,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
