Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
5,1727370699894,26/09/2024 17:11:39,1727352699894,-5,26/09/2024 07:11:39,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291195,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,595.9000000119213,583.4000000000005,595.9000000119213,595.9000000119213,583.4000000000005,595.9000000119213,1,595.9000000119213,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1727370700336,26/09/2024 17:11:40,1727352700336,-5,26/09/2024 07:11:40,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291195,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,454.59999997615796,450.09999999999945,454.59999997615796,454.59999997615796,450.09999999999945,454.59999997615796,1,454.59999997615796,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1727370700337,26/09/2024 17:11:40,1727352700337,-5,26/09/2024 07:11:40,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291195,BLIND,11758461,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x919,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
1,1727370703858,26/09/2024 17:11:43,1727345503858,-7,26/09/2024 03:11:43,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1727370705901,26/09/2024 17:11:45,1727345505901,-7,26/09/2024 03:11:45,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1992.8999999999996,1974.1999999999998,1992.8999999999996,1992.8999999999996,1974.1999999999998,1992.8999999999996,1,1992.8999999999996,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1727370720659,26/09/2024 17:12:00,1727345520659,-7,26/09/2024 03:12:00,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,14776.799999904633,14767.900000000001,14776.799999904633,14776.799999904633,14767.900000000001,14776.799999904633,1,14776.799999904633,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1727370729951,26/09/2024 17:12:09,1727345529951,-7,26/09/2024 03:12:09,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,9301.000000047683,9295.7,9301.000000047683,9301.000000047683,9295.7,9301.000000047683,1,9301.000000047683,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1727370744956,26/09/2024 17:12:24,1727345544956,-7,26/09/2024 03:12:24,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,15010.199999904631,14992.900000000001,15010.199999904631,15010.199999904631,14992.900000000001,15010.199999904631,1,15010.199999904631,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1727370755691,26/09/2024 17:12:35,1727345555691,-7,26/09/2024 03:12:35,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,10753.099999856946,10744.799999999996,10753.099999856946,10753.099999856946,10744.799999999996,10753.099999856946,1,10753.099999856946,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1727370755698,26/09/2024 17:12:35,1727345555698,-7,26/09/2024 03:12:35,187004,3,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,40291205,BLIND,11758429,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Memory Task (instr only),5,Inaccurate~Accurate,1,Inaccurate~Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,
