Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1727372342713,26/09/2024 17:39:02,1727357942713,-4,26/09/2024 09:39:02,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#3,40292294,BLIND,11758414,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,2327x1186,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,END,,,,,
1,1727372625932,26/09/2024 17:43:45,1727358225932,-4,26/09/2024 09:43:45,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40292412,BLIND,11758471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1477x831,1478x708,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1727372712323,26/09/2024 17:45:12,1727358312323,-4,26/09/2024 09:45:12,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#2,40292412,BLIND,11758471,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1477x831,1478x708,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Accurate,,,,,,info,,END,,,,,
1,1727372897560,26/09/2024 17:48:17,1727347697560,-7,26/09/2024 03:48:17,187004,3,questionnaire-vj9b,repeat-3dmk#1->-repeat-tj2w#2,40292519,BLIND,11758411,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1512x982,1512x811,,,0,Debrieff,3,Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1727372920832,26/09/2024 17:48:40,1727347720832,-7,26/09/2024 03:48:40,187004,3,questionnaire-vj9b,repeat-3dmk#1->-repeat-tj2w#2,40292519,BLIND,11758411,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 129.0.0.0,1512x982,1512x811,,,0,Debrieff,3,Accurate,2,,Inaccurate~Accurate,,,,,info,,END,,,,,
1,1727373098387,26/09/2024 17:51:38,1727358698387,-4,26/09/2024 09:51:38,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-ku6w#1,40292578,BLIND,11758424,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,2560x1440,2552x1314,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,BEGIN,,,,,
2,1727373105247,26/09/2024 17:51:45,1727358705247,-4,26/09/2024 09:51:45,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-ku6w#1,40292578,BLIND,11758424,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,2560x1440,2552x1314,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,END,,,,,
1,1727374321389,26/09/2024 18:12:01,1727359921389,-4,26/09/2024 10:12:01,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#1,40293081,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Debrieff,3,Inaccurate~Accurate,1,Accurate,,,,,,info,,BEGIN,,,,,
2,1727374324400,26/09/2024 18:12:04,1727359924400,-4,26/09/2024 10:12:04,187004,3,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#1,40293081,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Debrieff,3,Inaccurate~Accurate,1,Accurate,,,,,,info,,END,,,,,
1,1727374508869,26/09/2024 18:15:08,1727356508869,-5,26/09/2024 08:15:08,187004,3,questionnaire-vj9b,repeat-3dmk#4->-repeat-tj2w#3,40293169,BLIND,11758506,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1676x943,1676x809,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
