Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1727370999684,26/09/2024 17:16:39,1727352999684,-5,26/09/2024 07:16:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1727371009754,26/09/2024 17:16:49,1727353009754,-5,26/09/2024 07:16:49,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,9417.6,9411.7,9417.6,9417.6,9411.7,9417.6,1,9417.6,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1727371056759,26/09/2024 17:17:36,1727353056759,-5,26/09/2024 07:17:36,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,47009.4,46992.8,47009.4,47009.4,46992.8,47009.4,1,47009.4,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1727371056788,26/09/2024 17:17:36,1727353056788,-5,26/09/2024 07:17:36,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1727371059148,26/09/2024 17:17:39,1727353059148,-5,26/09/2024 07:17:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,2407.0999999999985,2398.5,2407.0999999999985,2407.0999999999985,2398.5,2407.0999999999985,1,2407.0999999999985,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1727371059149,26/09/2024 17:17:39,1727353059149,-5,26/09/2024 07:17:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,,2408.5000000357613,2398.5,2408.5000000357613,2408.5000000357613,2398.5,2408.5000000357613,1,2408.5000000357613,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1727371059164,26/09/2024 17:17:39,1727353059164,-5,26/09/2024 07:17:39,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.400000000001455,0,16.400000000001455,16.400000000001455,0,16.400000000001455,1,16.400000000001455,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1727371060304,26/09/2024 17:17:40,1727353060304,-5,26/09/2024 07:17:40,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,1164.2000000238404,1149.2999999999956,1164.2000000238404,1164.2000000238404,1149.2999999999956,1164.2000000238404,1,1164.2000000238404,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1727371060305,26/09/2024 17:17:40,1727353060305,-5,26/09/2024 07:17:40,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,,1165.5000000357613,1149.2999999999956,1165.5000000357613,1165.5000000357613,1149.2999999999956,1165.5000000357613,1,1165.5000000357613,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1727371060308,26/09/2024 17:17:40,1727353060308,-5,26/09/2024 07:17:40,187004,3,task-o7gw,repeat-3dmk#2->-repeat-tj2w#1,40291449,BLIND,11758502,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1280x720,1707x780,,,0,Subjective rating Practice,7,Inaccurate~Accurate,2,,Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
