Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
5,1727373756891,26/09/2024 18:02:36,1727359356891,-4,26/09/2024 10:02:36,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#1,40292822,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,6567.2999999985095,6566.6,6567.2999999985095,6567.2999999985095,6566.6,6567.2999999985095,1,6567.2999999985095,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1727373756892,26/09/2024 18:02:36,1727359356892,-4,26/09/2024 10:02:36,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#1,40292822,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,9,4283.4,6566.6,6568.599999999255,4283.4,6566.6,6568.599999999255,1,4283.4,2285.199999999255,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1727373756896,26/09/2024 18:02:36,1727359356896,-4,26/09/2024 10:02:36,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#1,40292822,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,5.499999999254214,0,5.499999999254214,5.499999999254214,0,5.499999999254214,1,5.499999999254214,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1727373765870,26/09/2024 18:02:45,1727359365870,-4,26/09/2024 10:02:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#1,40292822,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,8979.499999999254,8966.7,8979.499999999254,8979.499999999254,8966.7,8979.499999999254,1,8979.499999999254,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1727373765870,26/09/2024 18:02:45,1727359365870,-4,26/09/2024 10:02:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#1,40292822,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,8,6883.399999999998,8966.7,8979.8,6883.399999999998,8966.7,8979.8,1,6883.399999999998,2096.4000000000015,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1727373765871,26/09/2024 18:02:45,1727359365871,-4,26/09/2024 10:02:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#1,40292822,BLIND,11758405,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1727375075611,26/09/2024 18:24:35,1727357075611,-5,26/09/2024 08:24:35,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1727375077181,26/09/2024 18:24:37,1727357077181,-5,26/09/2024 08:24:37,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,1501.9000000953674,1485.1999999999998,1501.9000000953674,1501.9000000953674,1485.1999999999998,1501.9000000953674,1,1501.9000000953674,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1727375085007,26/09/2024 18:24:45,1727357085007,-5,26/09/2024 08:24:45,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,7842.400000143051,7841.000000000001,7842.400000143051,7842.400000143051,7841.000000000001,7842.400000143051,1,7842.400000143051,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1727375085013,26/09/2024 18:24:45,1727357085013,-5,26/09/2024 08:24:45,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,7.40000014305042,0,7.40000014305042,7.40000014305042,0,7.40000014305042,1,7.40000014305042,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1727375101225,26/09/2024 18:25:01,1727357101225,-5,26/09/2024 08:25:01,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,16217.700000095367,16216.5,16217.700000095367,16217.700000095367,16216.5,16217.700000095367,1,16217.700000095367,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1727375101227,26/09/2024 18:25:01,1727357101227,-5,26/09/2024 08:25:01,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,7,2919.5999999999985,16216.5,16221.200000095367,2919.5999999999985,16216.5,16221.200000095367,1,2919.5999999999985,13301.600000095368,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1727375101230,26/09/2024 18:25:01,1727357101230,-5,26/09/2024 08:25:01,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,8.099999952315557,0,8.099999952315557,8.099999952315557,0,8.099999952315557,1,8.099999952315557,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1727375110011,26/09/2024 18:25:10,1727357110011,-5,26/09/2024 08:25:10,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,8788.700000095367,8775.499999999996,8788.700000095367,8788.700000095367,8775.499999999996,8788.700000095367,1,8788.700000095367,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1727375110011,26/09/2024 18:25:10,1727357110011,-5,26/09/2024 08:25:10,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,3,3453.399999999998,8775.499999999996,8789.000000047683,3453.399999999998,8775.499999999996,8789.000000047683,1,3453.399999999998,5335.600000047685,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1727375110012,26/09/2024 18:25:10,1727357110012,-5,26/09/2024 08:25:10,187004,3,task-cax2,repeat-3dmk#7->-repeat-ku6w#3,40293362,BLIND,11758400,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1536x864,1300x679,,,0,Subjective rating Practice,7,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
END OF FILE
