Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: ,Spreadsheet: randomise,Manipulation: Spreadsheet
1,1731524787159,13/11/2024 19:06:27,1731506787159,-5,13/11/2024 09:06:27,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1731524798139,13/11/2024 19:06:38,1731506798139,-5,13/11/2024 09:06:38,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,instructions,Screen 1,1x4yic,1,continue,,0,0,0,10998.045999997019,10984.045999999998,10998.045999997019,1,0,0,0,,Click To Continue,Continue Button,2,object-30,instructions,,,,,,,
3,1731524801125,13/11/2024 19:06:41,1731506801125,-5,13/11/2024 09:06:41,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,instructions,Screen 2,1xhd4m,2,timedOut,,3000.900000002981,3000.2999999999993,3000.900000002981,3000.900000002981,3000.2999999999993,3000.900000002981,1,3000.900000002981,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
4,1731524801513,13/11/2024 19:06:41,1731506801513,-5,13/11/2024 09:06:41,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,image,Screen 4,4bf4ft,1,response,F,388.499999994041,383.2000000000007,388.499999994041,388.499999994041,383.2000000000007,388.499999994041,0,388.499999994041,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,Landscapes_082_v.jpg,,1,
5,1731524802125,13/11/2024 19:06:42,1731506802125,-5,13/11/2024 09:06:42,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,image,Screen 4,4bf4ft,1,timedOut,,1000.6000000029817,1000,1000.6000000029817,1000.6000000029817,1000,1000.6000000029817,0,1000.6000000029817,0,0,,Time Limit,screen,0,screen,image,,filler,J,Landscapes_082_v.jpg,,1,
6,1731524802525,13/11/2024 19:06:42,1731506802525,-5,13/11/2024 09:06:42,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),1,image,Screen 5,nseref,2,continue,,400,400,400,400,400,400,1,400,0,0,,Fixation Timing,Fixation,1,object-45,image,,filler,J,Landscapes_082_v.jpg,,1,
7,1731524803152,13/11/2024 19:06:43,1731506803152,-5,13/11/2024 09:06:43,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),2,image,Screen 4,4bf4ft,1,response,F,627.6999999970212,616.8000000000029,627.6999999970212,627.6999999970212,616.8000000000029,627.6999999970212,0,627.6999999970212,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,Landscapes_075_h.jpg,,1,
8,1731524803526,13/11/2024 19:06:43,1731506803526,-5,13/11/2024 09:06:43,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),2,image,Screen 4,4bf4ft,1,timedOut,,1001.499999994041,1000.2000000000007,1001.499999994041,1001.499999994041,1000.2000000000007,1001.499999994041,0,1001.499999994041,0,0,,Time Limit,screen,0,screen,image,,filler,J,Landscapes_075_h.jpg,,1,
9,1731524803925,13/11/2024 19:06:43,1731506803925,-5,13/11/2024 09:06:43,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),2,image,Screen 5,nseref,2,continue,,399.90000000000146,399.90000000000146,399.90000000000146,399.90000000000146,399.90000000000146,399.90000000000146,1,399.90000000000146,0,0,,Fixation Timing,Fixation,1,object-45,image,,filler,J,Landscapes_075_h.jpg,,1,
10,1731524804352,13/11/2024 19:06:44,1731506804352,-5,13/11/2024 09:06:44,187004,8,task-5hh6,repeat-3dmk#2,41321032,BLIND,12063934,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,2560x1440,2560x1305,,,0,SustAtt Task (Clone),8,Inaccurate~Accurate,2,,Inaccurate~Accurate,stim set 2 (50 targs + skips),stim set 2 (50 targs + skips),3,image,Screen 4,4bf4ft,1,response,F,427.70000000595974,416.7999999999993,427.70000000595974,427.70000000595974,416.7999999999993,427.70000000595974,0,427.70000000595974,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,,filler,J,Landscapes_052_h.jpg,,1,
