Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
13,1731524708143,13/11/2024 19:05:08,1731506708143,-5,13/11/2024 09:05:08,187004,8,task-wzke,repeat-3dmk#1,41320924,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,5,image,Trials,mxeghn,1,response,J,1007.9000000000015,1007.9000000000015,1007.9000000000015,1007.9000000000015,1007.9000000000015,1007.9000000000015,0,1007.9000000000015,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
14,1731524709134,13/11/2024 19:05:09,1731506709134,-5,13/11/2024 09:05:09,187004,8,task-wzke,repeat-3dmk#1,41320924,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,5,image,Screen 2,2al84i,2,continue,,505.40000000000146,505.40000000000146,505.40000000000146,505.40000000000146,505.40000000000146,505.40000000000146,1,505.40000000000146,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_5.jpg,#FF69B4,,1000ms,
15,1731524709135,13/11/2024 19:05:09,1731506709135,-5,13/11/2024 09:05:09,187004,8,task-wzke,repeat-3dmk#1,41320924,BLIND,12063932,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 130.0.0.0,1440x900,1401x668,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,34635,,,,0,,,,,,,,,,,,,,,
1,1731524688888,13/11/2024 19:04:48,1731506688888,-5,13/11/2024 09:04:48,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1731524994722,13/11/2024 19:09:54,1731506994722,-5,13/11/2024 09:09:54,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,304566.30000000005,304549.7,304566.30000000005,304566.30000000005,304549.7,304566.30000000005,1,304566.30000000005,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1731525002086,13/11/2024 19:10:02,1731507002086,-5,13/11/2024 09:10:02,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,7380.600000004459,7369.200000000012,7380.600000004459,7380.600000004459,7369.200000000012,7380.600000004459,1,7380.600000004459,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1731525005077,13/11/2024 19:10:05,1731507005077,-5,13/11/2024 09:10:05,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3002.300000002957,3001.5,3002.300000002957,3002.300000002957,3001.5,3002.300000002957,1,3002.300000002957,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1731525006077,13/11/2024 19:10:06,1731507006077,-5,13/11/2024 09:10:06,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,J,1000.0999999999767,1000.0999999999767,1000.0999999999767,1000.0999999999767,1000.0999999999767,1000.0999999999767,0,1000.0999999999767,0,0,,Time Limit,screen,0,screen,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1731525007061,13/11/2024 19:10:07,1731507007061,-5,13/11/2024 09:10:07,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500.4000000000233,500.4000000000233,500.4000000000233,500.4000000000233,500.4000000000233,500.4000000000233,1,500.4000000000233,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1731525008062,13/11/2024 19:10:08,1731507008062,-5,13/11/2024 09:10:08,187004,8,task-wzke,repeat-3dmk#1,41320941,BLIND,12063937,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x953,,,0,Sustained Attention Practice (Clone),4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,J,1000.5,1000.5,1000.5,1000.5,1000.5,1000.5,0,1000.5,0,0,,Time Limit,screen,0,screen,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
