Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1731604957146,14/11/2024 17:22:37,1731583357146,-6,14/11/2024 05:22:37,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1731604959982,14/11/2024 17:22:39,1731583359982,-6,14/11/2024 05:22:39,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,instructions,Screen 5,e3ks8t,1,continue,,2853.27800000596,2839.2779999999993,2853.27800000596,2853.27800000596,2839.2779999999993,2853.27800000596,1,2853.27800000596,0,0,,Click To Continue,Continue Button,2,object-68,instructions,,,,,,,,
3,1731604962962,14/11/2024 17:22:42,1731583362962,-6,14/11/2024 05:22:42,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,instructions,Screen 6,yf7ssf,2,timedOut,,2994.1000000000004,2992.1000000000004,2994.1000000000004,2994.1000000000004,2992.1000000000004,2994.1000000000004,1,2994.1000000000004,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,,
4,1731604963040,14/11/2024 17:22:43,1731583363040,-6,14/11/2024 05:22:43,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,4,object-51,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
5,1731604973169,14/11/2024 17:22:53,1731583373169,-6,14/11/2024 05:22:53,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,continue,,10209.90000000596,10205.099999999999,10209.90000000596,10209.90000000596,10205.099999999999,10209.90000000596,1,10209.90000000596,0,0,,Click To Continue,Continue Button,7,object-69,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
6,1731604973181,14/11/2024 17:22:53,1731583373181,-6,14/11/2024 05:22:53,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 1,l8m57c,1,response,4,3644.5,10205.099999999999,10221,3644.5,10205.099999999999,10221,1,3644.5,6576.5,0,,Slider,Slider,4,object-51,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
7,1731604973215,14/11/2024 17:22:53,1731583373215,-6,14/11/2024 05:22:53,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,1,16.599999999998545,0,0,,Slider,Slider,4,object-78,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
8,1731604978698,14/11/2024 17:22:58,1731583378698,-6,14/11/2024 05:22:58,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,continue,,5533.100000017883,5518.700000000001,5533.100000017883,5533.100000017883,5518.700000000001,5533.100000017883,1,5533.100000017883,0,0,,Click To Continue,Continue Button,7,object-82,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
9,1731604978701,14/11/2024 17:22:58,1731583378701,-6,14/11/2024 05:22:58,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,1,image,Screen 2,7vpf45,2,response,8,3012.9000000000015,5518.700000000001,5535.4000000000015,3012.9000000000015,5518.700000000001,5535.4000000000015,1,3012.9000000000015,2522.5,0,,Slider,Slider,4,object-78,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
10,1731604978784,14/11/2024 17:22:58,1731583378784,-6,14/11/2024 05:22:58,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,4,object-51,image,143,2a3c588170a6bf80d052d1c017bbf1f4.jpg,target,,F,,target,
11,1731604983764,14/11/2024 17:23:03,1731583383764,-6,14/11/2024 05:23:03,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,continue,,5080.400000017882,5071.5,5080.400000017882,5080.400000017882,5071.5,5080.400000017882,1,5080.400000017882,0,0,,Click To Continue,Continue Button,7,object-69,image,143,2a3c588170a6bf80d052d1c017bbf1f4.jpg,target,,F,,target,
12,1731604983782,14/11/2024 17:23:03,1731583383782,-6,14/11/2024 05:23:03,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 1,l8m57c,1,response,1,2312.100000000002,5071.5,5088.200000000001,2312.100000000002,5071.5,5088.200000000001,1,2312.100000000002,2776.0999999999985,0,,Slider,Slider,4,object-51,image,143,2a3c588170a6bf80d052d1c017bbf1f4.jpg,target,,F,,target,
13,1731604983838,14/11/2024 17:23:03,1731583383838,-6,14/11/2024 05:23:03,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,4,object-78,image,143,2a3c588170a6bf80d052d1c017bbf1f4.jpg,target,,F,,target,
14,1731604987586,14/11/2024 17:23:07,1731583387586,-6,14/11/2024 05:23:07,187004,8,task-e25r,repeat-3dmk#4->-repeat-tj2w#3,41353380,BLIND,12063954,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 130.0.0.0,1366x768,1366x633,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,2,image,Screen 2,7vpf45,2,continue,,3831.400000017882,3822.399999999998,3831.400000017882,3831.400000017882,3822.399999999998,3831.400000017882,1,3831.400000017882,0,0,,Click To Continue,Continue Button,7,object-82,image,143,2a3c588170a6bf80d052d1c017bbf1f4.jpg,target,,F,,target,
