Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1737477019545,21/01/2025 16:30:19,1737455419545,-6,21/01/2025 04:30:19,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2->-repeat-bbex#1,42632014,BLIND,12435173,,complete,,678fbd956da3343b4e27ba4d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1737477036036,21/01/2025 16:30:36,1737455436036,-6,21/01/2025 04:30:36,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#2->-repeat-bbex#1,42632014,BLIND,12435173,,complete,,678fbd956da3343b4e27ba4d,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x720,1280x585,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,,,,,info,,END,16441,,,,
1,1737477417807,21/01/2025 16:36:57,1737459417807,-5,21/01/2025 06:36:57,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#1,42632242,BLIND,12435644,,complete,,678fc6a9cac861d318d3b962,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,726x698,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1737477421191,21/01/2025 16:37:01,1737459421191,-5,21/01/2025 06:37:01,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#4->-repeat-bbex#1,42632242,BLIND,12435644,,complete,,678fc6a9cac861d318d3b962,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,726x698,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,END,3362,,,,
1,1737478219216,21/01/2025 16:50:19,1737456619216,-6,21/01/2025 04:50:19,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#2->-repeat-bh4w#1,42632702,BLIND,12435694,,complete,,678fc6a7e208c59a263e95bf,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,,,,,info,,BEGIN,,,,,
2,1737478366820,21/01/2025 16:52:46,1737456766820,-6,21/01/2025 04:52:46,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-tj2w#2->-repeat-bh4w#1,42632702,BLIND,12435694,,complete,,678fc6a7e208c59a263e95bf,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrieff,3,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,,,,,info,,END,147583,,,,
1,1737479025500,21/01/2025 17:03:45,1737457425500,-6,21/01/2025 05:03:45,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1->-repeat-bbex#1,42633192,BLIND,12435823,,complete,,678fca2415424c2eab7a887e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 132.0.0.0,1710x1107,1710x981,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1737479059831,21/01/2025 17:04:19,1737457459831,-6,21/01/2025 05:04:19,153647,19,questionnaire-vj9b,repeat-3dmk#3->-repeat-ku6w#1->-repeat-bbex#1,42633192,BLIND,12435823,,complete,,678fca2415424c2eab7a887e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 132.0.0.0,1710x1107,1710x981,,,0,Debrieff,3,Inaccurate~Inaccurate~Accurate,1,Accurate,,Accurate,,,,,,info,,END,34321,,,,
1,1737479631478,21/01/2025 17:13:51,1737461631478,-5,21/01/2025 07:13:51,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3->-repeat-bbex#3,42633581,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1737479657182,21/01/2025 17:14:17,1737461657182,-5,21/01/2025 07:14:17,153647,19,questionnaire-vj9b,repeat-3dmk#2->-repeat-ku6w#3->-repeat-bbex#3,42633581,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Debrieff,3,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,,,,,info,,END,25662,,,,
1,1737480047337,21/01/2025 17:20:47,1737462047337,-5,21/01/2025 07:20:47,153647,19,questionnaire-vj9b,repeat-3dmk#1->-repeat-ku6w#5->-repeat-bbex#1,42633834,BLIND,12435955,,complete,,678fcbc78b98a51e2ba5ea7e,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Debrieff,3,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,BEGIN,,,,,
2,1737480055116,21/01/2025 17:20:55,1737462055116,-5,21/01/2025 07:20:55,153647,19,questionnaire-vj9b,repeat-3dmk#1->-repeat-ku6w#5->-repeat-bbex#1,42633834,BLIND,12435955,,complete,,678fcbc78b98a51e2ba5ea7e,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Debrieff,3,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,,,,,info,,END,7707,,,,
1,1737480819439,21/01/2025 17:33:39,1737459219439,-6,21/01/2025 05:33:39,153647,19,questionnaire-vj9b,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42634222,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1737480838713,21/01/2025 17:33:58,1737459238713,-6,21/01/2025 05:33:58,153647,19,questionnaire-vj9b,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42634222,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Debrieff,3,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,,,,,info,,END,19216,,,,
END OF FILE
