Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: memory,Spreadsheet: randomise,Spreadsheet: img,Manipulation: Spreadsheet
11,1737474881500,21/01/2025 15:54:41,1737456881500,-5,21/01/2025 05:54:41,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,10,image,Screen 3,zz7hbh,1,response,1,790.3999999880798,783,790.3999999880798,790.3999999880798,783,790.3999999880798,1,790.3999999880798,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,1fbe50e9fbfb4cd25adb8887c3a48e67.jpg,
12,1737474913757,21/01/2025 15:55:13,1737456913757,-5,21/01/2025 05:55:13,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,11,image,Screen 3,zz7hbh,1,response,4,3830.2999999761596,3814.5999999999985,3830.2999999761596,3830.2999999761596,3814.5999999999985,3830.2999999761596,1,3830.2999999761596,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,6a428827436fae2f1dc16138cf69fbc3.jpg,
13,1737474914908,21/01/2025 15:55:14,1737456914908,-5,21/01/2025 05:55:14,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,12,image,Screen 3,zz7hbh,1,response,4,1165.9000000000015,1149.300000000003,1165.9000000000015,1165.9000000000015,1149.300000000003,1165.9000000000015,1,1165.9000000000015,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,Landscapes_089_h.jpg,
14,1737474916030,21/01/2025 15:55:16,1737456916030,-5,21/01/2025 05:55:16,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,13,image,Screen 3,zz7hbh,1,response,1,1139.3999999761581,1132.800000000003,1139.3999999761581,1139.3999999761581,1132.800000000003,1139.3999999761581,1,1139.3999999761581,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,abe336eaf110ed14cce5d4fed62a7d5a.jpg,
15,1737474917011,21/01/2025 15:55:17,1737456917011,-5,21/01/2025 05:55:17,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,14,image,Screen 3,zz7hbh,1,response,1,987.300000023839,982.8999999999942,987.300000023839,987.300000023839,982.8999999999942,987.300000023839,1,987.300000023839,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,Bar 1.jpg,
16,1737474917979,21/01/2025 15:55:17,1737456917979,-5,21/01/2025 05:55:17,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,15,image,Screen 3,zz7hbh,1,response,1,973.3000000000029,966,973.3000000000029,973.3000000000029,966,973.3000000000029,1,973.3000000000029,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,6c34e2878569d763bdd92cdc72c8be88.jpg,
17,1737474918875,21/01/2025 15:55:18,1737456918875,-5,21/01/2025 05:55:18,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,16,image,Screen 3,zz7hbh,1,response,4,902.6000000119238,899.5,902.6000000119238,902.6000000119238,899.5,902.6000000119238,1,902.6000000119238,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,Lake 11.jpg,
18,1737474920022,21/01/2025 15:55:20,1737456920022,-5,21/01/2025 05:55:20,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,17,image,Screen 3,zz7hbh,1,response,1,1149.300000000003,1132.7000000000044,1149.300000000003,1149.300000000003,1132.7000000000044,1149.300000000003,1,1149.300000000003,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,7c4f3f4fb26ac0b47b8ba51ee8b0979b.jpg,
19,1737474920955,21/01/2025 15:55:20,1737456920955,-5,21/01/2025 05:55:20,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,18,image,Screen 3,zz7hbh,1,response,1,947.5000000000073,932.9000000000015,947.5000000000073,947.5000000000073,932.9000000000015,947.5000000000073,1,947.5000000000073,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,04010bc443e63d3299791526581d1c6a.jpg,
20,1737474921815,21/01/2025 15:55:21,1737456921815,-5,21/01/2025 05:55:21,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,19,image,Screen 3,zz7hbh,1,response,4,877.1999999999971,866.1999999999971,877.1999999999971,877.1999999999971,866.1999999999971,877.1999999999971,1,877.1999999999971,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,Explosion 1.jpg,
