Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
4,1737479753974,21/01/2025 17:15:53,1737458153974,-6,21/01/2025 05:15:53,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,3,continue,,2079.199999988079,2066.5,2079.199999988079,2079.199999988079,2066.5,2079.199999988079,1,2079.199999988079,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,5,12
5,1737479753991,21/01/2025 17:15:53,1737458153991,-6,21/01/2025 05:15:53,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,info,,16.700000000000728,0,16.700000000000728,16.700000000000728,0,16.700000000000728,1,16.700000000000728,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,5,12
6,1737479757324,21/01/2025 17:15:57,1737458157324,-6,21/01/2025 05:15:57,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,continue,,3361.7999999523163,3349.5,3361.7999999523163,3361.7999999523163,3349.5,3361.7999999523163,1,3361.7999999523163,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,5,12
7,1737479757326,21/01/2025 17:15:57,1737458157326,-6,21/01/2025 05:15:57,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,4,response,,3363.899999976158,3349.5,3363.899999976158,3363.899999976158,3349.5,3363.899999976158,1,3363.899999976158,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,5,12
8,1737479757355,21/01/2025 17:15:57,1737458157355,-6,21/01/2025 05:15:57,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,5,12
9,1737479769415,21/01/2025 17:16:09,1737458169415,-6,21/01/2025 05:16:09,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,continue,,12102.799999952316,12098.599999999999,12102.799999952316,12102.799999952316,12098.599999999999,12102.799999952316,1,12102.799999952316,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,5,12
10,1737479769432,21/01/2025 17:16:09,1737458169432,-6,21/01/2025 05:16:09,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,5,response,,12115.199999999997,12098.599999999999,12115.199999999997,12115.199999999997,12098.599999999999,12115.199999999997,1,12115.199999999997,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,5,12
11,1737479772411,21/01/2025 17:16:12,1737458172411,-6,21/01/2025 05:16:12,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,instructions,Screen 6,yf7ssf,6,timedOut,,3000.7999999761596,2999.7000000000007,3000.7999999761596,3000.7999999761596,2999.7000000000007,3000.7999999761596,1,3000.7999999761596,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,,,,,,,,,5,12
12,1737479772454,21/01/2025 17:16:12,1737458172454,-6,21/01/2025 05:16:12,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,image,Screen 1,l8m57c,1,info,,16.599999999998545,0,16.599999999998545,16.599999999998545,0,16.599999999998545,0,16.599999999998545,0,0,,Slider,Slider,4,object-51,image,,,,,,,,,,,,,,,0,12
13,1737479780880,21/01/2025 17:16:20,1737458180880,-6,21/01/2025 05:16:20,153647,19,task-u8ly,repeat-3dmk#5->-repeat-tj2w#5->-repeat-bh4w#2,42633676,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Subjective rating Practice,6,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,emo_prac,emo_prac,1,image,Screen 1,l8m57c,1,continue,,8465.3,8448.8,8465.3,8465.3,8448.8,8465.3,0,8465.3,0,0,,Click To Continue,Continue Button,7,object-69,image,,,,,,,,,,,,,,,0,13
