Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
2,1737474964484,21/01/2025 15:56:04,1737456964484,-5,21/01/2025 05:56:04,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#3,42630724,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,5332.100000011921,5326,5332.100000011921,5332.100000011921,5326,5332.100000011921,1,5332.100000011921,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737474967478,21/01/2025 15:56:07,1737456967478,-5,21/01/2025 05:56:07,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#3,42630724,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.8,2999.4000000000005,3000.8,3000.8,2999.4000000000005,3000.8,1,3000.8,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737474969335,21/01/2025 15:56:09,1737456969335,-5,21/01/2025 05:56:09,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#3,42630724,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,1858.0000000238415,1841.6000000000004,1858.0000000238415,1858.0000000238415,1841.6000000000004,1858.0000000238415,1,1858.0000000238415,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737474979923,21/01/2025 15:56:19,1737456979923,-5,21/01/2025 05:56:19,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#3,42630724,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,9601.300000011921,9594.8,9601.300000011921,9601.300000011921,9594.8,9601.300000011921,1,9601.300000011921,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1737474991082,21/01/2025 15:56:31,1737456991082,-5,21/01/2025 05:56:31,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#3,42630724,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,10160.599999976159,10155.2,10160.599999976159,10160.599999976159,10155.2,10160.599999976159,1,10160.599999976159,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,3,3
7,1737474992085,21/01/2025 15:56:32,1737456992085,-5,21/01/2025 05:56:32,153647,19,task-ugmz,repeat-3dmk#3->-repeat-ku6w#3,42630724,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,32779,,,,0,,,,,,,,,,,,,,,,,
1,1737475567436,21/01/2025 16:06:07,1737457567436,-5,21/01/2025 06:06:07,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737475569594,21/01/2025 16:06:09,1737457569594,-5,21/01/2025 06:06:09,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,2201.6999999761583,2199.5,2201.6999999761583,2201.6999999761583,2199.5,2201.6999999761583,1,2201.6999999761583,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737475572592,21/01/2025 16:06:12,1737457572592,-5,21/01/2025 06:06:12,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.100000011921,2999.5999999999995,3001.100000011921,3001.100000011921,2999.5999999999995,3001.100000011921,1,3001.100000011921,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737475578532,21/01/2025 16:06:18,1737457578532,-5,21/01/2025 06:06:18,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,5936.599999976159,5916,5936.599999976159,5936.599999976159,5916,5936.599999976159,1,5936.599999976159,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
