Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
2,1737473562685,21/01/2025 15:32:42,1737444762685,-8,20/01/2025 23:32:42,153647,19,task-efz1,,42629546,BLIND,12435184,,complete,,678fbdae4517087201af1442,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x641,,,0,Study Welcome,11,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,23201.200000000004,23184.9,23201.200000000004,23201.200000000004,23184.9,23201.200000000004,1,23201.200000000004,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737473562703,21/01/2025 15:32:42,1737444762703,-8,20/01/2025 23:32:42,153647,19,task-efz1,,42629546,BLIND,12435184,,complete,,678fbdae4517087201af1442,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1366x768,1366x641,,,0,Study Welcome,11,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,23128,,,,0,,,,,,,,,,,
1,1737473632083,21/01/2025 15:33:52,1737455632083,-5,21/01/2025 05:33:52,153647,19,task-efz1,,42629640,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Study Welcome,11,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737473646207,21/01/2025 15:34:06,1737455646207,-5,21/01/2025 05:34:06,153647,19,task-efz1,,42629640,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Study Welcome,11,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,14156.7,14151.100000000002,14156.7,14156.7,14151.100000000002,14156.7,1,14156.7,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737473646213,21/01/2025 15:34:06,1737455646213,-5,21/01/2025 05:34:06,153647,19,task-efz1,,42629640,BLIND,12435205,,complete,,678fbe4871e039f136595285,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x738,,,0,Study Welcome,11,Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,14063,,,,0,,,,,,,,,,,
1,1737473878472,21/01/2025 15:37:58,1737455878472,-5,21/01/2025 05:37:58,153647,19,task-efz1,,42629846,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737473890445,21/01/2025 15:38:10,1737455890445,-5,21/01/2025 05:38:10,153647,19,task-efz1,,42629846,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,12009.238000023843,11997.638,12009.238000023843,12009.238000023843,11997.638,12009.238000023843,1,12009.238000023843,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737473890453,21/01/2025 15:38:10,1737455890453,-5,21/01/2025 05:38:10,153647,19,task-efz1,,42629846,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,11945,,,,0,,,,,,,,,,,
1,1737473895058,21/01/2025 15:38:15,1737452295058,-6,21/01/2025 03:38:15,153647,19,task-efz1,,42629868,BLIND,12435273,,complete,,678fbf418039afce3607ec39,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1396x632,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737473939740,21/01/2025 15:38:59,1737452339740,-6,21/01/2025 03:38:59,153647,19,task-efz1,,42629868,BLIND,12435273,,complete,,678fbf418039afce3607ec39,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1396x632,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,50438.800000071526,50434.5,50438.800000071526,50438.800000071526,50434.5,50438.800000071526,1,50438.800000071526,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737473939751,21/01/2025 15:38:59,1737452339751,-6,21/01/2025 03:38:59,153647,19,task-efz1,,42629868,BLIND,12435273,,complete,,678fbf418039afce3607ec39,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1536x864,1396x632,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,44637,,,,0,,,,,,,,,,,
1,1737475787994,21/01/2025 16:09:47,1737457787994,-5,21/01/2025 06:09:47,153647,19,task-efz1,,42631309,BLIND,12435644,,complete,,678fc6a9cac861d318d3b962,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1495x698,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737475789438,21/01/2025 16:09:49,1737457789438,-5,21/01/2025 06:09:49,153647,19,task-efz1,,42631309,BLIND,12435644,,complete,,678fc6a9cac861d318d3b962,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1495x698,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,1474.4220000119208,1466.1219999999998,1474.4220000119208,1474.4220000119208,1466.1219999999998,1474.4220000119208,1,1474.4220000119208,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737475789442,21/01/2025 16:09:49,1737457789442,-5,21/01/2025 06:09:49,153647,19,task-efz1,,42631309,BLIND,12435644,,complete,,678fc6a9cac861d318d3b962,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1495x698,,,0,Study Welcome,11,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,1419,,,,0,,,,,,,,,,,
1,1737476003035,21/01/2025 16:13:23,1737454403035,-6,21/01/2025 04:13:23,153647,19,task-efz1,,42631461,BLIND,12435694,,complete,,678fc6a7e208c59a263e95bf,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Study Welcome,11,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737476013990,21/01/2025 16:13:33,1737454413990,-6,21/01/2025 04:13:33,153647,19,task-efz1,,42631461,BLIND,12435694,,complete,,678fc6a7e208c59a263e95bf,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Study Welcome,11,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,10988.526,10972.826,10988.526,10988.526,10972.826,10988.526,1,10988.526,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737476014002,21/01/2025 16:13:34,1737454414002,-6,21/01/2025 04:13:34,153647,19,task-efz1,,42631461,BLIND,12435694,,complete,,678fc6a7e208c59a263e95bf,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Study Welcome,11,Inaccurate~Accurate,2,,Inaccurate~Accurate,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,10944,,,,0,,,,,,,,,,,
1,1737476781568,21/01/2025 16:26:21,1737455181568,-6,21/01/2025 04:26:21,153647,19,task-efz1,,42631901,BLIND,12435823,,complete,,678fca2415424c2eab7a887e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 132.0.0.0,1710x1107,1710x981,,,0,Study Welcome,11,Inaccurate~Inaccurate~Accurate,1,Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737476793906,21/01/2025 16:26:33,1737455193906,-6,21/01/2025 04:26:33,153647,19,task-efz1,,42631901,BLIND,12435823,,complete,,678fca2415424c2eab7a887e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 132.0.0.0,1710x1107,1710x981,,,0,Study Welcome,11,Inaccurate~Inaccurate~Accurate,1,Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,12349.5,12333.5,12349.5,12349.5,12333.5,12349.5,1,12349.5,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737476793911,21/01/2025 16:26:33,1737455193911,-6,21/01/2025 04:26:33,153647,19,task-efz1,,42631901,BLIND,12435823,,complete,,678fca2415424c2eab7a887e,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 132.0.0.0,1710x1107,1710x981,,,0,Study Welcome,11,Inaccurate~Inaccurate~Accurate,1,Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,12328,,,,0,,,,,,,,,,,
1,1737477355543,21/01/2025 16:35:55,1737455755543,-6,21/01/2025 04:35:55,153647,19,task-efz1,,42632187,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Study Welcome,11,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737477371669,21/01/2025 16:36:11,1737455771669,-6,21/01/2025 04:36:11,153647,19,task-efz1,,42632187,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Study Welcome,11,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,16196.400000023841,16180.599999999999,16196.400000023841,16196.400000023841,16180.599999999999,16196.400000023841,1,16196.400000023841,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737477371679,21/01/2025 16:36:11,1737455771679,-6,21/01/2025 04:36:11,153647,19,task-efz1,,42632187,BLIND,12435916,,complete,,678fc84472479ddbd9db3bb4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1366x768,1366x607,,,0,Study Welcome,11,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,16035,,,,0,,,,,,,,,,,
1,1737477431322,21/01/2025 16:37:11,1737459431322,-5,21/01/2025 06:37:11,153647,19,task-efz1,,42632241,BLIND,12435955,,complete,,678fcbc78b98a51e2ba5ea7e,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Study Welcome,11,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1737477440612,21/01/2025 16:37:20,1737459440612,-5,21/01/2025 06:37:20,153647,19,task-efz1,,42632241,BLIND,12435955,,complete,,678fcbc78b98a51e2ba5ea7e,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Study Welcome,11,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,19561.300000000003,19544.7,19561.300000000003,19561.300000000003,19544.7,19561.300000000003,1,19561.300000000003,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1737477440617,21/01/2025 16:37:20,1737459440617,-5,21/01/2025 06:37:20,153647,19,task-efz1,,42632241,BLIND,12435955,,complete,,678fcbc78b98a51e2ba5ea7e,computer,Desktop or Laptop,Windows 10,Chrome 132.0.0.0,1280x720,1280x585,,,0,Study Welcome,11,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,9177,,,,0,,,,,,,,,,,
END OF FILE
